,FVS,IVS
Q4 2024,107491984.48387097,196410269.43242472
Q1 2025,121519105.68387096,234314762.93308744
Q2 2025,143024462.72666666,244849887.06055328
Q3 2025,155011306.2133333,271421521.44529593
Q4 2025,157084867.13548386,283138790.8511792
Q1 2026,165173506.6516129,312026469.10290676
Q2 2026,174439630.34666666,341902062.1328569
Q3 2026,161900855.54333335,322789417.7234614
Q4 2026,169230991.47419354,344583741.9768539
