Date,OP_Price,AVPI,PR,LAR,Votable Supply,Circulating Supply,OP_Price_Scaled,AVPI_Scaled,PR_Scaled,LAR_Scaled,F,IVS,IVS/VS
2023-12-04,1.719741023,0.9763780995573924,0.0908219341077703,0.0544451945599792,82765569.72,911294948.0,0.1355976611507164,1.0000000000000002,0.9118596447978292,0.0575132123812646,0.891501,144101151.45,1.74
2023-12-05,1.79032647,0.4458397668879072,0.0905288157923596,0.184732857313688,82498452.48,911294948.0,0.1531187878608975,0.3368288163192111,0.9040622132645796,0.322434593735142,0.871427,139628292.98,1.69
2023-12-06,1.800778154,0.4662663710982374,0.0910181197997818,0.1124627004313269,82944352.75,911294948.0,0.1557131651366946,0.3623620048912473,0.917078508378972,0.1754835364571457,0.838523,134080262.76,1.62
2023-12-07,1.712826843,0.4683463644071787,0.0901216054804684,0.114736635371088,82127363.78,911294948.0,0.1338813835180621,0.3649619897364481,0.8932297461014276,0.1801072588619994,0.849286,134761042.92,1.64
2023-12-08,2.17804963,0.38113902331651,0.090155752778298,0.2492917870620688,82158482.04,911294948.0,0.2493616665782605,0.255953098096601,0.8941381206480634,0.4537059703657901,0.870709,138912747.38,1.69
2023-12-09,2.119848479,0.3531331744322757,0.0900385321130958,0.2109689299440937,82051659.44,911294948.0,0.2349146412396041,0.2209458784276815,0.8910198572604089,0.375781905795584,0.853264,135385573.73,1.65
2023-12-10,2.033932266,0.3458448474757877,0.089982512489469,0.177387513106742,82000609.04,911294948.0,0.2135880233826411,0.2118354935277503,0.8895296427061377,0.3074988838398592,0.842242,133240895.52,1.62
2023-12-11,2.169642979,0.3501392293148663,0.0897537063049755,0.1421882130775317,81792099.12,911294948.0,0.2472749191871266,0.2172034568058594,0.8834430201234711,0.2359261271464207,0.821445,129131774.38,1.58
2023-12-12,2.288199608,0.318425865969671,0.089471475211119,0.2958726337022566,81534903.35,911294948.0,0.276703729336065,0.1775618561654128,0.8759352066734083,0.5484214789237974,0.878737,139423616.17,1.71
2023-12-13,2.338079738,0.3139209274369307,0.0896532825286769,0.1959834552237727,81700583.44,911294948.0,0.2890852628560029,0.1719306977076737,0.8807715817355231,0.3453110800915744,0.83121,130738355.75,1.6
2023-12-14,2.236857993,0.3147554505497599,0.0896872042464126,0.1685826945619513,81731496.13,911294948.0,0.2639594175812589,0.1729738488740734,0.8816739554789166,0.2895955410201662,0.824528,129585881.28,1.59
2023-12-15,2.258742575,0.320892051518317,0.0896604210078425,0.1334984203806383,81707088.7,911294948.0,0.269391734730449,0.1806445800493643,0.8809614770768199,0.2182566729841209,0.809227,126848669.26,1.55
2023-12-16,2.093693816,0.330506606937662,0.0895891114388137,0.1052521027502645,81642104.65,911294948.0,0.228422379959668,0.192662742932957,0.879064524710031,0.1608218144054947,0.807033,126367106.66,1.55
2023-12-17,2.180534896,0.3386069815154789,0.0895465122451222,0.10982987690556,81603284.22,911294948.0,0.2499785736369424,0.2027881847082928,0.8779313157677109,0.1701300652952163,0.806034,126134257.01,1.55
2023-12-18,2.084722368,0.3478683950777427,0.088948778557258,0.0967250250698332,81058572.53,911294948.0,0.2261954354000932,0.2143649214235079,0.8620306119863472,0.1434832180237174,0.809469,125883639.26,1.55
2023-12-19,2.231617724,0.3515665857090903,0.0888379245793865,0.1303705679505339,80957551.86,911294948.0,0.2626586477902219,0.2189876476384595,0.8590817130018871,0.2118966311433154,0.817905,127192559.36,1.57
2023-12-20,2.109474119,0.3616033332520587,0.0886860142343288,0.0820002965254424,80819116.73,911294948.0,0.2323394577730033,0.2315335492981653,0.8550406468094858,0.1135425824823846,0.804997,124744877.7,1.54
2023-12-21,2.242226632,0.3701971713801172,0.0885857872439341,0.0878551493921116,80727780.38,911294948.0,0.2652920521139865,0.2422758189001926,0.852374443251747,0.1254475908022729,0.802637,124202087.33,1.54
2023-12-22,2.518230752,0.3724686789387337,0.0843307368033384,0.1301210570581707,76850174.41,911294948.0,0.3338033864553567,0.2451151959322119,0.7391830705646449,0.2113892863274624,0.829524,122690243.57,1.6
2023-12-23,3.509716392,0.354016658150487,0.0839507726536853,0.2991403596201105,76503915.0,911294948.0,0.5799156697673132,0.2220502301909571,0.7290753963380845,0.555065933554012,0.852109,126028566.75,1.65
2023-12-24,3.41863373,0.3432662729976884,0.0835860885514313,0.2550556204222774,76171580.22,911294948.0,0.5573066061454223,0.2086122838489211,0.7193741966208109,0.4654259034999545,0.838334,123099735.46,1.62
2023-12-25,3.588720766,0.3367966823290466,0.0835138912566428,0.2255035566086199,76105787.19,911294948.0,0.5995265910881421,0.2005253166357032,0.7174536292819518,0.4053359962754178,0.817167,119448572.65,1.57
2023-12-26,3.382066719,0.3411331327936452,0.0834672354180547,0.114488937297842,76063269.96,911294948.0,0.548229731798454,0.2059458655583624,0.7162125068822571,0.1796036001552877,0.78093,113616538.19,1.49
2023-12-27,3.480381226,0.3413367889256535,0.0825764488162179,0.1577507319644799,75251500.63,911294948.0,0.5726339256912262,0.2062004350584553,0.6925161113539651,0.267570289868641,0.79926,115243421.23,1.53
2023-12-28,3.960804643,0.3313133366259014,0.0823522419439551,0.2805169516733982,75047182.04,911294948.0,0.6918873967898114,0.1936711524093623,0.6865518380764541,0.5171978894546535,0.82782,119529948.59,1.59
2023-12-29,3.594457545,0.3292113730009051,0.0822714735602813,0.191149379964503,74973578.22,911294948.0,0.6009506074546789,0.1910437047408238,0.6844032656105359,0.3354816774590686,0.807849,116175301.75,1.55
2023-12-30,3.908365871,0.3276329311666883,0.0822207062976058,0.1874029138050313,74927314.27,911294948.0,0.678870742397323,0.1890706576015119,0.6830527725364748,0.3278637728226256,0.791969,113611388.9,1.52
2023-12-31,3.615758367,0.3321140547638533,0.0821964796736698,0.1032617124230615,74905236.67,911294948.0,0.6062380203302113,0.1946720474675353,0.6824083043081481,0.1567746395328224,0.770731,110353424.7,1.47
2024-01-01,3.700179943,0.3359620030614811,0.0820582080852268,0.1093551208148106,74779230.47,911294948.0,0.6271936307716837,0.199481970276393,0.6787300515781292,0.1691647164915828,0.770776,110174480.77,1.47
