Date,Votable Supply,F,IVS,IVS/VS
2023-12-31,79593593.1775,0.8266381071428571,126791426.1675,1.59
2024-01-31,80486243.50193548,0.7747165161290323,118949538.23516129,1.48
2024-02-29,89217269.01344827,0.7679714482758621,130974403.43068965,1.47
2024-03-31,88406505.81290323,0.7539006129032259,127467556.72064516,1.44
2024-04-30,87847568.60766667,0.8169383666666667,138179324.52566665,1.57
2024-05-31,90553577.1467742,0.8268306774193549,144152411.42806453,1.59
2024-06-30,91285981.947,0.8716632,154634341.765,1.69
2024-07-31,91689933.24774192,0.8876092580645161,158897472.42806453,1.73
2024-08-31,93543378.5983871,0.9044874516129032,166109471.33064517,1.78
2024-09-30,96530279.45033334,0.8839172666666666,166302304.61633334,1.72
2024-10-31,100247464.15322581,0.8971611290322581,175962129.69032258,1.76
2024-11-30,105066220.76666667,0.9368952666666667,195676475.16333333,1.86
2024-12-31,107491991.38080536,0.9248058387096774,196569628.51193547,1.83
2025-01-31,108929028.98769957,0.9882166774193548,218279114.22290322,2.0
2025-02-28,116567457.4187669,0.9797485,230677239.77892858,1.98
2025-03-31,121519151.68798283,0.9650535806451613,235448768.81612903,1.94
2025-04-30,129460401.80627897,0.9213193666666667,235404200.308,1.82
2025-05-31,136709596.05494213,0.8946168387096775,239263774.09935483,1.75
2025-06-30,143024546.60969254,0.8836889,246617256.61266667,1.72
2025-07-31,144815622.48779312,0.8863447419354838,250705730.2083871,1.73
2025-08-31,145828235.17028522,0.9076974516129033,260183405.9080645,1.78
2025-09-30,155011420.31890744,0.9015248333333333,274094869.1666667,1.77
2025-10-31,158470588.6208837,0.8899412258064516,275598180.22129035,1.74
2025-11-30,152940816.80355534,0.9253399666666666,279726897.44200003,1.83
2025-12-31,157084963.42503598,0.9222582580645161,286026091.3958065,1.82
2026-01-31,149692345.77630678,0.9616112258064515,288494808.44548386,1.93
2026-02-28,162822905.1641354,0.9397938214285714,304263918.84749997,1.87
2026-03-31,165173602.6133035,0.956996870967742,316286491.766129,1.91
2026-04-30,162089745.38303214,0.9839596666666667,322797093.738,1.99
2026-05-31,165299717.2395248,1.006680870967742,340250733.4816129,2.06
2026-06-30,174439768.9084327,0.9860273666666667,348329033.228,2.0
2026-07-31,172334741.00413254,0.9776606774193548,339941709.68935484,1.97
2026-08-31,171080144.41392228,0.9559438387096775,327060829.3348387,1.91
2026-09-30,161900997.16158822,0.9934727999999999,326977489.71466666,2.02
2026-10-31,157409937.45141456,1.0233544193548387,332063670.98741937,2.11
2026-11-30,153984994.82545468,1.0465697666666667,336223339.489,2.18
2026-12-31,169231216.93405128,1.0111336451612902,350754988.68774194,2.07
