,FVS,IVS
Q4 2024,107491984.48387097,196569747.96258065
Q1 2025,121519105.68387096,235448894.42774194
Q2 2025,143024462.72666666,246617317.58066666
Q3 2025,155011306.2133333,274094899.5223333
Q4 2025,157084867.13548386,286026142.2538709
Q1 2026,165173506.6516129,316286601.6803226
Q2 2026,174439630.34666666,348329154.166
Q3 2026,161900855.54333335,326977587.31866664
Q4 2026,169230991.47419354,350755061.026129
