Date,PR
30-11-2024 00:00,0.082947965
29-11-2024 00:00,0.082616988
28-11-2024 00:00,0.082673282
27-11-2024 00:00,0.083055684
26-11-2024 00:00,0.083129633
25-11-2024 00:00,0.083243468
24-11-2024 00:00,0.083350121
23-11-2024 00:00,0.083255403
22-11-2024 00:00,0.083340793
21-11-2024 00:00,0.083251245
20-11-2024 00:00,0.083758708
19-11-2024 00:00,0.083785521
18-11-2024 00:00,0.083821626
17-11-2024 00:00,0.083854347
16-11-2024 00:00,0.083873607
15-11-2024 00:00,0.084383555
14-11-2024 00:00,0.084469791
13-11-2024 00:00,0.084434412
12-11-2024 00:00,0.084426529
11-11-2024 00:00,0.08440101
10-11-2024 00:00,0.084612267
09-11-2024 00:00,0.084705678
08-11-2024 00:00,0.084702047
07-11-2024 00:00,0.084191899
06-11-2024 00:00,0.084160569
05-11-2024 00:00,0.084135209
04-11-2024 00:00,0.083142237
03-11-2024 00:00,0.083288302
02-11-2024 00:00,0.083131684
01-11-2024 00:00,0.083258485
31-10-2024 00:00,0.083146981
30-10-2024 00:00,0.082880406
29-10-2024 00:00,0.082845723
28-10-2024 00:00,0.083031037
27-10-2024 00:00,0.08301717
26-10-2024 00:00,0.082963503
25-10-2024 00:00,0.0828764
24-10-2024 00:00,0.082918896
23-10-2024 00:00,0.082894767
22-10-2024 00:00,0.082146243
21-10-2024 00:00,0.079356189
20-10-2024 00:00,0.079605453
19-10-2024 00:00,0.07968813
18-10-2024 00:00,0.079712738
17-10-2024 00:00,0.079774955
16-10-2024 00:00,0.07984869
15-10-2024 00:00,0.079904689
14-10-2024 00:00,0.080008842
13-10-2024 00:00,0.079978958
12-10-2024 00:00,0.080073886
11-10-2024 00:00,0.079423123
10-10-2024 00:00,0.079889769
09-10-2024 00:00,0.078974284
08-10-2024 00:00,0.076236432
07-10-2024 00:00,0.076306967
06-10-2024 00:00,0.076264171
05-10-2024 00:00,0.076281171
04-10-2024 00:00,0.076501513
03-10-2024 00:00,0.0764818
02-10-2024 00:00,0.07650794
01-10-2024 00:00,0.076552278
30-09-2024 00:00,0.076557858
29-09-2024 00:00,0.076827025
28-09-2024 00:00,0.076867067
27-09-2024 00:00,0.081244711
26-09-2024 00:00,0.081317037
25-09-2024 00:00,0.081301294
24-09-2024 00:00,0.081317119
23-09-2024 00:00,0.081340955
22-09-2024 00:00,0.081247498
21-09-2024 00:00,0.081244802
20-09-2024 00:00,0.081240977
19-09-2024 00:00,0.081267873
18-09-2024 00:00,0.081198643
17-09-2024 00:00,0.08126647
16-09-2024 00:00,0.081257474
15-09-2024 00:00,0.081245271
14-09-2024 00:00,0.081249783
13-09-2024 00:00,0.081289387
12-09-2024 00:00,0.081299934
11-09-2024 00:00,0.081174343
10-09-2024 00:00,0.081200291
09-09-2024 00:00,0.081214242
08-09-2024 00:00,0.081261618
07-09-2024 00:00,0.081264582
06-09-2024 00:00,0.081261389
05-09-2024 00:00,0.081324405
04-09-2024 00:00,0.081458813
03-09-2024 00:00,0.081463988
02-09-2024 00:00,0.081495645
01-09-2024 00:00,0.081679205
31-08-2024 00:00,0.081698974
30-08-2024 00:00,0.081610208
29-08-2024 00:00,0.077726569
28-08-2024 00:00,0.077610872
27-08-2024 00:00,0.077579783
26-08-2024 00:00,0.077612741
25-08-2024 00:00,0.077568037
24-08-2024 00:00,0.077580133
23-08-2024 00:00,0.077565245
22-08-2024 00:00,0.077586116
21-08-2024 00:00,0.079683647
20-08-2024 00:00,0.079687147
19-08-2024 00:00,0.07969327
18-08-2024 00:00,0.078817007
17-08-2024 00:00,0.078828556
16-08-2024 00:00,0.078810819
15-08-2024 00:00,0.078844668
14-08-2024 00:00,0.078813232
13-08-2024 00:00,0.078921664
12-08-2024 00:00,0.078952712
11-08-2024 00:00,0.078985556
10-08-2024 00:00,0.078950156
09-08-2024 00:00,0.078946674
08-08-2024 00:00,0.078785702
07-08-2024 00:00,0.078767827
06-08-2024 00:00,0.078702085
05-08-2024 00:00,0.078640118
04-08-2024 00:00,0.078604376
03-08-2024 00:00,0.078654903
02-08-2024 00:00,0.078661394
01-08-2024 00:00,0.078885967
31-07-2024 00:00,0.083416945
30-07-2024 00:00,0.083286886
29-07-2024 00:00,0.083111569
28-07-2024 00:00,0.083040131
27-07-2024 00:00,0.083040394
26-07-2024 00:00,0.083055459
25-07-2024 00:00,0.083015345
24-07-2024 00:00,0.082946956
23-07-2024 00:00,0.083060827
22-07-2024 00:00,0.083075791
21-07-2024 00:00,0.082809867
20-07-2024 00:00,0.082868234
19-07-2024 00:00,0.082921787
18-07-2024 00:00,0.082965612
17-07-2024 00:00,0.082931785
16-07-2024 00:00,0.08285978
15-07-2024 00:00,0.082727574
14-07-2024 00:00,0.082782239
13-07-2024 00:00,0.082857539
12-07-2024 00:00,0.082478092
11-07-2024 00:00,0.079409956
10-07-2024 00:00,0.079430714
09-07-2024 00:00,0.079452965
08-07-2024 00:00,0.079353649
07-07-2024 00:00,0.079383237
06-07-2024 00:00,0.079382645
05-07-2024 00:00,0.079471207
04-07-2024 00:00,0.079628487
03-07-2024 00:00,0.079765411
02-07-2024 00:00,0.079663872
01-07-2024 00:00,0.07974069
30-06-2024 00:00,0.079824463
29-06-2024 00:00,0.079728834
28-06-2024 00:00,0.079760925
27-06-2024 00:00,0.079763935
26-06-2024 00:00,0.07981171
25-06-2024 00:00,0.079832389
24-06-2024 00:00,0.080115354
23-06-2024 00:00,0.081782935
22-06-2024 00:00,0.081744946
21-06-2024 00:00,0.081868093
20-06-2024 00:00,0.081855888
19-06-2024 00:00,0.084496912
18-06-2024 00:00,0.084371441
17-06-2024 00:00,0.084546253
16-06-2024 00:00,0.084467882
15-06-2024 00:00,0.084500954
14-06-2024 00:00,0.084571868
13-06-2024 00:00,0.084625684
12-06-2024 00:00,0.084638414
11-06-2024 00:00,0.084771354
10-06-2024 00:00,0.08467696
09-06-2024 00:00,0.084716141
08-06-2024 00:00,0.084698536
07-06-2024 00:00,0.0846588
06-06-2024 00:00,0.084298402
05-06-2024 00:00,0.084178628
04-06-2024 00:00,0.084219712
03-06-2024 00:00,0.084232017
02-06-2024 00:00,0.084206915
01-06-2024 00:00,0.084278817
31-05-2024 00:00,0.084293481
30-05-2024 00:00,0.084191041
29-05-2024 00:00,0.084173374
28-05-2024 00:00,0.084194013
27-05-2024 00:00,0.08491464
26-05-2024 00:00,0.084832435
25-05-2024 00:00,0.084837191
24-05-2024 00:00,0.0847948
23-05-2024 00:00,0.08476211
22-05-2024 00:00,0.084739256
21-05-2024 00:00,0.083044396
20-05-2024 00:00,0.082911004
19-05-2024 00:00,0.082944347
18-05-2024 00:00,0.082959209
17-05-2024 00:00,0.086170595
16-05-2024 00:00,0.085816373
15-05-2024 00:00,0.085792168
14-05-2024 00:00,0.085624835
13-05-2024 00:00,0.08563909
12-05-2024 00:00,0.085641737
11-05-2024 00:00,0.085686272
10-05-2024 00:00,0.085797102
09-05-2024 00:00,0.086140349
08-05-2024 00:00,0.086151798
07-05-2024 00:00,0.086265119
06-05-2024 00:00,0.086174148
05-05-2024 00:00,0.085945164
04-05-2024 00:00,0.086040608
03-05-2024 00:00,0.086030397
02-05-2024 00:00,0.086049049
01-05-2024 00:00,0.085986165
30-04-2024 00:00,0.085948688
29-04-2024 00:00,0.084175826
28-04-2024 00:00,0.084462423
27-04-2024 00:00,0.08436559
26-04-2024 00:00,0.084307612
25-04-2024 00:00,0.084331188
24-04-2024 00:00,0.084354081
23-04-2024 00:00,0.084378645
22-04-2024 00:00,0.084247892
21-04-2024 00:00,0.084304568
20-04-2024 00:00,0.084380205
19-04-2024 00:00,0.084231874
18-04-2024 00:00,0.084212598
17-04-2024 00:00,0.083518225
16-04-2024 00:00,0.083675845
15-04-2024 00:00,0.086900238
14-04-2024 00:00,0.086849117
13-04-2024 00:00,0.086846964
12-04-2024 00:00,0.086829536
11-04-2024 00:00,0.086906187
10-04-2024 00:00,0.086919353
09-04-2024 00:00,0.086891012
08-04-2024 00:00,0.086995019
07-04-2024 00:00,0.086993803
06-04-2024 00:00,0.087031723
05-04-2024 00:00,0.086985792
04-04-2024 00:00,0.087098658
03-04-2024 00:00,0.087228591
02-04-2024 00:00,0.087317125
01-04-2024 00:00,0.087322404
31-03-2024 00:00,0.087952118
30-03-2024 00:00,0.087901644
29-03-2024 00:00,0.087992849
28-03-2024 00:00,0.088079293
27-03-2024 00:00,0.088006471
26-03-2024 00:00,0.088018795
25-03-2024 00:00,0.087395
24-03-2024 00:00,0.087346149
23-03-2024 00:00,0.087399882
22-03-2024 00:00,0.087295096
21-03-2024 00:00,0.08726437
20-03-2024 00:00,0.087252987
19-03-2024 00:00,0.087199106
18-03-2024 00:00,0.087295714
17-03-2024 00:00,0.087434532
16-03-2024 00:00,0.087435799
15-03-2024 00:00,0.087580361
14-03-2024 00:00,0.087406595
13-03-2024 00:00,0.087575068
12-03-2024 00:00,0.087680931
11-03-2024 00:00,0.087757581
10-03-2024 00:00,0.087867948
09-03-2024 00:00,0.087972632
08-03-2024 00:00,0.088288046
07-03-2024 00:00,0.088352809
06-03-2024 00:00,0.088354738
05-03-2024 00:00,0.088385402
04-03-2024 00:00,0.088815548
03-03-2024 00:00,0.088765782
02-03-2024 00:00,0.088862704
01-03-2024 00:00,0.088936795
29-02-2024 00:00,0.093367781
28-02-2024 00:00,0.093493871
27-02-2024 00:00,0.093574506
26-02-2024 00:00,0.093547277
25-02-2024 00:00,0.093676602
24-02-2024 00:00,0.093825413
23-02-2024 00:00,0.093745177
22-02-2024 00:00,0.093863745
21-02-2024 00:00,0.094033736
20-02-2024 00:00,0.094135275
19-02-2024 00:00,0.093309587
18-02-2024 00:00,0.093366905
17-02-2024 00:00,0.093437721
16-02-2024 00:00,0.093462244
15-02-2024 00:00,0.093491435
14-02-2024 00:00,0.093603413
13-02-2024 00:00,0.093627871
12-02-2024 00:00,0.093469161
11-02-2024 00:00,0.092417754
10-02-2024 00:00,0.092326755
09-02-2024 00:00,0.092398637
08-02-2024 00:00,0.092447241
07-02-2024 00:00,0.092471326
06-02-2024 00:00,0.092587462
05-02-2024 00:00,0.092571621
04-02-2024 00:00,0.092507114
03-02-2024 00:00,0.092573015
02-02-2024 00:00,0.092540004
01-02-2024 00:00,0.092611915
31-01-2024 00:00,0.092725867
30-01-2024 00:00,0.092668877
29-01-2024 00:00,0.092744667
28-01-2024 00:00,0.092657906
27-01-2024 00:00,0.092941031
26-01-2024 00:00,0.092957776
25-01-2024 00:00,0.092708478
24-01-2024 00:00,0.092740977
23-01-2024 00:00,0.092700084
22-01-2024 00:00,0.092707781
21-01-2024 00:00,0.092746801
20-01-2024 00:00,0.092828882
19-01-2024 00:00,0.092931389
18-01-2024 00:00,0.092998958
17-01-2024 00:00,0.0758731
16-01-2024 00:00,0.075949189
15-01-2024 00:00,0.075975697
14-01-2024 00:00,0.07650508
13-01-2024 00:00,0.076609807
12-01-2024 00:00,0.07671915
11-01-2024 00:00,0.07697128
10-01-2024 00:00,0.077149561
09-01-2024 00:00,0.077091459
08-01-2024 00:00,0.081113684
07-01-2024 00:00,0.081024799
06-01-2024 00:00,0.080940506
05-01-2024 00:00,0.080983879
04-01-2024 00:00,0.080974947
03-01-2024 00:00,0.080944205
02-01-2024 00:00,0.081471831
01-01-2024 00:00,0.082058208
31-12-2023 00:00,0.08219648
30-12-2023 00:00,0.082220706
29-12-2023 00:00,0.082271474
28-12-2023 00:00,0.082352242
27-12-2023 00:00,0.082576449
26-12-2023 00:00,0.083467235
25-12-2023 00:00,0.083513891
24-12-2023 00:00,0.083586089
23-12-2023 00:00,0.083950773
22-12-2023 00:00,0.084330737
21-12-2023 00:00,0.088585787
20-12-2023 00:00,0.088686014
19-12-2023 00:00,0.088837925
18-12-2023 00:00,0.088948779
17-12-2023 00:00,0.089546512
16-12-2023 00:00,0.089589111
15-12-2023 00:00,0.089660421
14-12-2023 00:00,0.089687204
13-12-2023 00:00,0.089653283
12-12-2023 00:00,0.089471475
11-12-2023 00:00,0.089753706
10-12-2023 00:00,0.089982512
09-12-2023 00:00,0.090038532
08-12-2023 00:00,0.090155753
07-12-2023 00:00,0.090121605
06-12-2023 00:00,0.09101812
05-12-2023 00:00,0.090528816
04-12-2023 00:00,0.090821934
03-12-2023 00:00,0.090968712
02-12-2023 00:00,0.091701159
01-12-2023 00:00,0.091605793
30-11-2023 00:00,0.09322687
29-11-2023 00:00,0.093113283
28-11-2023 00:00,0.093420447
27-11-2023 00:00,0.093370899
26-11-2023 00:00,0.093357094
25-11-2023 00:00,0.093386217
24-11-2023 00:00,0.092856054
23-11-2023 00:00,0.092860528
22-11-2023 00:00,0.092702084
21-11-2023 00:00,0.092532476
20-11-2023 00:00,0.092634129
19-11-2023 00:00,0.092921271
18-11-2023 00:00,0.092974929
17-11-2023 00:00,0.093257837
16-11-2023 00:00,0.090517049
15-11-2023 00:00,0.090796304
14-11-2023 00:00,0.090830007
13-11-2023 00:00,0.091441852
12-11-2023 00:00,0.091658779
11-11-2023 00:00,0.091497648
10-11-2023 00:00,0.091476511
09-11-2023 00:00,0.091709654
08-11-2023 00:00,0.091087039
07-11-2023 00:00,0.091059603
06-11-2023 00:00,0.091090297
05-11-2023 00:00,0.091060311
04-11-2023 00:00,0.091172112
03-11-2023 00:00,0.091185839
02-11-2023 00:00,0.091176773
01-11-2023 00:00,0.091103153
31-10-2023 00:00,0.091591107
30-10-2023 00:00,0.091539642
29-10-2023 00:00,0.091567542
28-10-2023 00:00,0.091547258
27-10-2023 00:00,0.091557783
26-10-2023 00:00,0.079918991
25-10-2023 00:00,0.079875787
24-10-2023 00:00,0.079909056
23-10-2023 00:00,0.079971676
22-10-2023 00:00,0.08015467
21-10-2023 00:00,0.080133273
20-10-2023 00:00,0.080236152
19-10-2023 00:00,0.08003629
18-10-2023 00:00,0.080029745
17-10-2023 00:00,0.079922806
16-10-2023 00:00,0.079984898
15-10-2023 00:00,0.079920302
14-10-2023 00:00,0.080007921
13-10-2023 00:00,0.080080354
12-10-2023 00:00,0.07982104
11-10-2023 00:00,0.079915674
10-10-2023 00:00,0.079647923
09-10-2023 00:00,0.079693573
08-10-2023 00:00,0.078728728
07-10-2023 00:00,0.078742723
06-10-2023 00:00,0.07876482
05-10-2023 00:00,0.078823175
04-10-2023 00:00,0.078920815
03-10-2023 00:00,0.07887255
02-10-2023 00:00,0.086969824
01-10-2023 00:00,0.087032671
30-09-2023 00:00,0.087064247
29-09-2023 00:00,0.087002216
28-09-2023 00:00,0.086965717
27-09-2023 00:00,0.087095823
26-09-2023 00:00,0.086417507
25-09-2023 00:00,0.086448178
24-09-2023 00:00,0.086437203
23-09-2023 00:00,0.086387109
22-09-2023 00:00,0.086450278
21-09-2023 00:00,0.086545875
20-09-2023 00:00,0.086614383
19-09-2023 00:00,0.086540085
18-09-2023 00:00,0.086237978
17-09-2023 00:00,0.062411555
16-09-2023 00:00,0.062391932
15-09-2023 00:00,0.062315715
14-09-2023 00:00,0.062054053
13-09-2023 00:00,0.061788994
12-09-2023 00:00,0.061713594
11-09-2023 00:00,0.061759743
10-09-2023 00:00,0.061736974
09-09-2023 00:00,0.061844584
08-09-2023 00:00,0.061904143
07-09-2023 00:00,0.061983969
06-09-2023 00:00,0.062004954
05-09-2023 00:00,0.061862343
04-09-2023 00:00,0.061865369
03-09-2023 00:00,0.06186323
02-09-2023 00:00,0.061890702
01-09-2023 00:00,0.061872986
31-08-2023 00:00,0.061795576
30-08-2023 00:00,0.068661402
29-08-2023 00:00,0.068656257
28-08-2023 00:00,0.068261538
27-08-2023 00:00,0.068521624
26-08-2023 00:00,0.068999776
25-08-2023 00:00,0.069125601
24-08-2023 00:00,0.068953476
23-08-2023 00:00,0.069081137
22-08-2023 00:00,0.06927945
21-08-2023 00:00,0.069390247
20-08-2023 00:00,0.069382955
19-08-2023 00:00,0.069428362
18-08-2023 00:00,0.069292263
17-08-2023 00:00,0.068899308
16-08-2023 00:00,0.067024358
15-08-2023 00:00,0.067163624
14-08-2023 00:00,0.067164791
13-08-2023 00:00,0.067034861
12-08-2023 00:00,0.067112692
11-08-2023 00:00,0.06708208
10-08-2023 00:00,0.067135726
09-08-2023 00:00,0.067210864
08-08-2023 00:00,0.067239373
07-08-2023 00:00,0.067632242
06-08-2023 00:00,0.067721817
05-08-2023 00:00,0.06763401
04-08-2023 00:00,0.06768202
03-08-2023 00:00,0.067702264
02-08-2023 00:00,0.067917882
01-08-2023 00:00,0.067907809
31-07-2023 00:00,0.067700581
30-07-2023 00:00,0.071461412
29-07-2023 00:00,0.071411178
28-07-2023 00:00,0.071826031
27-07-2023 00:00,0.071009855
26-07-2023 00:00,0.070464065
25-07-2023 00:00,0.070351344
24-07-2023 00:00,0.069684583
23-07-2023 00:00,0.069724655
22-07-2023 00:00,0.069827419
21-07-2023 00:00,0.069737796
20-07-2023 00:00,0.069769888
19-07-2023 00:00,0.070155251
18-07-2023 00:00,0.073778885
17-07-2023 00:00,0.07375572
16-07-2023 00:00,0.073539653
15-07-2023 00:00,0.073517413
14-07-2023 00:00,0.073353317
13-07-2023 00:00,0.072937506
12-07-2023 00:00,0.060135899
11-07-2023 00:00,0.060048422
10-07-2023 00:00,0.060048901
09-07-2023 00:00,0.060025585
08-07-2023 00:00,0.060089437
07-07-2023 00:00,0.060077913
06-07-2023 00:00,0.060066051
05-07-2023 00:00,0.059958122
04-07-2023 00:00,0.060012705
03-07-2023 00:00,0.060056954
02-07-2023 00:00,0.060271465
01-07-2023 00:00,0.060295437
30-06-2023 00:00,0.060073944
29-06-2023 00:00,0.059777703
28-06-2023 00:00,0.062073286
27-06-2023 00:00,0.061748612
26-06-2023 00:00,0.061626372
25-06-2023 00:00,0.061596744
24-06-2023 00:00,0.061511484
23-06-2023 00:00,0.061524077
22-06-2023 00:00,0.061429548
21-06-2023 00:00,0.06109678
20-06-2023 00:00,0.061076342
19-06-2023 00:00,0.06038765
18-06-2023 00:00,0.060362461
17-06-2023 00:00,0.06039373
16-06-2023 00:00,0.06050034
15-06-2023 00:00,0.060344486
14-06-2023 00:00,0.060268433
13-06-2023 00:00,0.060337144
12-06-2023 00:00,0.060365598
11-06-2023 00:00,0.060302406
10-06-2023 00:00,0.060328123
09-06-2023 00:00,0.058962251
08-06-2023 00:00,0.058771994
07-06-2023 00:00,0.058882064
06-06-2023 00:00,0.059050371
05-06-2023 00:00,0.058855179
04-06-2023 00:00,0.058864189
03-06-2023 00:00,0.058903569
02-06-2023 00:00,0.058885632
01-06-2023 00:00,0.058525545
31-05-2023 00:00,0.05947971
30-05-2023 00:00,0.113580892
29-05-2023 00:00,0.114107687
28-05-2023 00:00,0.114282229
27-05-2023 00:00,0.114278124
26-05-2023 00:00,0.114342233
25-05-2023 00:00,0.114364395
24-05-2023 00:00,0.114186542
23-05-2023 00:00,0.114237513
22-05-2023 00:00,0.114381141
21-05-2023 00:00,0.11440277
20-05-2023 00:00,0.114773165
19-05-2023 00:00,0.114768137
18-05-2023 00:00,0.114722459
17-05-2023 00:00,0.114737688
16-05-2023 00:00,0.113978639
15-05-2023 00:00,0.113990611
14-05-2023 00:00,0.114163977
13-05-2023 00:00,0.11428123
12-05-2023 00:00,0.114289047
11-05-2023 00:00,0.12179925
10-05-2023 00:00,0.121485998
09-05-2023 00:00,0.121564922
08-05-2023 00:00,0.127926233
07-05-2023 00:00,0.127853255
06-05-2023 00:00,0.128075667
05-05-2023 00:00,0.128272838
04-05-2023 00:00,0.128184698
03-05-2023 00:00,0.128096118
02-05-2023 00:00,0.128230039
01-05-2023 00:00,0.128369592
30-04-2023 00:00,0.128573188
29-04-2023 00:00,0.128439441
28-04-2023 00:00,0.128337933
27-04-2023 00:00,0.128590745
26-04-2023 00:00,0.125366838
25-04-2023 00:00,0.125312167
24-04-2023 00:00,0.125328046
23-04-2023 00:00,0.125328298
22-04-2023 00:00,0.12543591
21-04-2023 00:00,0.125469366
20-04-2023 00:00,0.125531515
19-04-2023 00:00,0.125707493
18-04-2023 00:00,0.125877371
17-04-2023 00:00,0.126202816
16-04-2023 00:00,0.126374463
15-04-2023 00:00,0.126486464
14-04-2023 00:00,0.126751649
13-04-2023 00:00,0.126990671
12-04-2023 00:00,0.126963863
11-04-2023 00:00,0.127043891
10-04-2023 00:00,0.12703391
09-04-2023 00:00,0.127316347
08-04-2023 00:00,0.12738196
07-04-2023 00:00,0.12746419
06-04-2023 00:00,0.1277618
05-04-2023 00:00,0.127634407
04-04-2023 00:00,0.128160607
03-04-2023 00:00,0.128174182
02-04-2023 00:00,0.12819646
01-04-2023 00:00,0.12822734
31-03-2023 00:00,0.128096076
30-03-2023 00:00,0.127645132
29-03-2023 00:00,0.127289264
28-03-2023 00:00,0.127331399
27-03-2023 00:00,0.127462848
26-03-2023 00:00,0.127064774
25-03-2023 00:00,0.127064862
24-03-2023 00:00,0.127220665
23-03-2023 00:00,0.127241361
22-03-2023 00:00,0.130447268
21-03-2023 00:00,0.13025751
20-03-2023 00:00,0.130371798
19-03-2023 00:00,0.130580194
18-03-2023 00:00,0.130674773
17-03-2023 00:00,0.131177504
16-03-2023 00:00,0.131055815
15-03-2023 00:00,0.130772728
14-03-2023 00:00,0.130764584
13-03-2023 00:00,0.13108575
12-03-2023 00:00,0.131884965
11-03-2023 00:00,0.131542411
10-03-2023 00:00,0.131146038
09-03-2023 00:00,0.130654175
08-03-2023 00:00,0.130238622
07-03-2023 00:00,0.130030804
06-03-2023 00:00,0.130385812
05-03-2023 00:00,0.130204525
04-03-2023 00:00,0.130407123
03-03-2023 00:00,0.130413661
02-03-2023 00:00,0.130616693
01-03-2023 00:00,0.130617589
28-02-2023 00:00,0.130543854
27-02-2023 00:00,0.129814771
26-02-2023 00:00,0.12647178
25-02-2023 00:00,0.126503124
24-02-2023 00:00,0.126674716
23-02-2023 00:00,0.127483011
22-02-2023 00:00,0.126169206
21-02-2023 00:00,0.186022836
20-02-2023 00:00,0.182071487
19-02-2023 00:00,0.181865377
18-02-2023 00:00,0.182277373
17-02-2023 00:00,0.182743103
16-02-2023 00:00,0.179746724
15-02-2023 00:00,0.153281653
14-02-2023 00:00,0.152403319
13-02-2023 00:00,0.152248632
12-02-2023 00:00,0.147975549
11-02-2023 00:00,0.147417684
10-02-2023 00:00,0.146653537
09-02-2023 00:00,0.149620319
08-02-2023 00:00,0.103590253
07-02-2023 00:00,0.103750311
06-02-2023 00:00,0.099256388
05-02-2023 00:00,0.099688191
04-02-2023 00:00,0.097076967
03-02-2023 00:00,0.097956642
02-02-2023 00:00,0.0985221
01-02-2023 00:00,0.099830953
31-01-2023 00:00,0.100313832
30-01-2023 00:00,0.100452689
29-01-2023 00:00,0.100786919
28-01-2023 00:00,0.100834849
27-01-2023 00:00,0.101202763
26-01-2023 00:00,0.101317798
25-01-2023 00:00,0.101628315
24-01-2023 00:00,0.101937443
23-01-2023 00:00,0.102276166
