Date,Circulating Supply
05/02/2023,214748364.8
06/02/2023,214748364.8
07/02/2023,214748364.8
08/02/2023,214748364.8
09/02/2023,214748364.8
10/02/2023,214748364.8
11/02/2023,214748364.8
12/02/2023,214748364.8
13/02/2023,214748364.8
14/02/2023,214748364.8
15/02/2023,214748364.8
16/02/2023,214748364.8
17/02/2023,214748364.8
18/02/2023,214748364.8
19/02/2023,214748364.8
20/02/2023,214748364.8
21/02/2023,214748364.8
22/02/2023,317487381
23/02/2023,314844141
24/02/2023,314844141
25/02/2023,314844141
26/02/2023,314844141
27/02/2023,314844141
28/02/2023,314844141
01/03/2023,314844141
02/03/2023,314844141
03/03/2023,314844141
04/03/2023,314844141
05/03/2023,314844141
06/03/2023,314844141
07/03/2023,314844141
08/03/2023,314844141
09/03/2023,314844141
10/03/2023,314844141
11/03/2023,314844141
12/03/2023,314844141
13/03/2023,314844141
14/03/2023,314844141
15/03/2023,314844141
16/03/2023,314844141
17/03/2023,314844141
18/03/2023,314844141
19/03/2023,314844141
20/03/2023,314844141
21/03/2023,314844141
22/03/2023,314844141
23/03/2023,314844141
24/03/2023,314844141
25/03/2023,314844141
26/03/2023,314844141
27/03/2023,314844141
28/03/2023,314844141
29/03/2023,314844141
30/03/2023,314844141
31/03/2023,314844141
01/04/2023,314844141
02/04/2023,314844141
03/04/2023,314844141
04/04/2023,314844141
05/04/2023,314844141
06/04/2023,314844141
07/04/2023,314844141
08/04/2023,314844141
09/04/2023,314844141
10/04/2023,314844141
11/04/2023,314844141
12/04/2023,314844141
13/04/2023,314844141
14/04/2023,314844141
15/04/2023,314844141
16/04/2023,314844141
17/04/2023,314844141
18/04/2023,314844141
19/04/2023,314844141
20/04/2023,314844141
21/04/2023,314844141
22/04/2023,314844141
23/04/2023,314844141
24/04/2023,314844141
25/04/2023,314844141
26/04/2023,314844141
27/04/2023,314844141
28/04/2023,314844141
29/04/2023,314844141
30/04/2023,314844141
01/05/2023,314844141
02/05/2023,314844141
03/05/2023,314844141
04/05/2023,314844141
05/05/2023,314844141
06/05/2023,314844141
07/05/2023,314844141
08/05/2023,314844141
09/05/2023,314844141
10/05/2023,314844141
11/05/2023,314844141
12/05/2023,335376391
13/05/2023,335376391
14/05/2023,335376391
15/05/2023,335376391
16/05/2023,335376391
17/05/2023,335376391
18/05/2023,335376391
19/05/2023,335376391
20/05/2023,335376391
21/05/2023,335376391
22/05/2023,335376391
23/05/2023,335376391
24/05/2023,335376391
25/05/2023,335376391
26/05/2023,335376391
27/05/2023,335376391
28/05/2023,335376391
29/05/2023,335376391
30/05/2023,335376391
31/05/2023,644594782
01/06/2023,644594782
02/06/2023,644594782
03/06/2023,644594782
04/06/2023,644594782
05/06/2023,644594782
06/06/2023,644594782
07/06/2023,644594782
08/06/2023,644594782
09/06/2023,644594782
10/06/2023,644594782
11/06/2023,644594782
12/06/2023,644594782
13/06/2023,644594782
14/06/2023,644594782
15/06/2023,644594782
16/06/2023,644594782
17/06/2023,644594782
18/06/2023,644594782
19/06/2023,644594782
20/06/2023,644594782
21/06/2023,644594782
22/06/2023,644594782
23/06/2023,644594782
24/06/2023,644594782
25/06/2023,644594782
26/06/2023,644594782
27/06/2023,644594782
28/06/2023,644594782
29/06/2023,644594782
30/06/2023,644594782
01/07/2023,644594782
02/07/2023,644594782
03/07/2023,644594782
04/07/2023,644594782
05/07/2023,644594782
06/07/2023,644594782
07/07/2023,644594782
08/07/2023,644594782
09/07/2023,644594782
10/07/2023,644594782
11/07/2023,644594782
12/07/2023,644594782
13/07/2023,644594782
14/07/2023,644594782
