Date,Votable Supply
2023-01-09,23453184.56
2023-01-10,23376050.14
2023-01-11,23437750.92
2023-01-12,23385549.14
2023-01-13,23288831.42
2023-01-14,23082993.59
2023-01-15,22817244.98
2023-01-16,22678920.39
2023-01-17,22674179.01
2023-01-18,22689820.31
2023-01-19,22667298.37
2023-01-20,22586628.44
2023-01-21,22154149.09
2023-01-22,22073698.74
2023-01-23,21963639.36
2023-01-24,21890899.22
2023-01-25,21824514.51
2023-01-26,21757831.44
2023-01-27,21733127.83
2023-01-28,21654118.88
2023-01-29,21643826.05
2023-01-30,21572050.77
2023-01-31,21542231.36
2023-02-01,21438533.99
2023-02-02,21157459.83
2023-02-03,21036028.77
2023-02-04,20847119.92
2023-02-05,21407876.05
2023-02-06,21315147.06
2023-02-07,22280209.68
2023-02-08,22245837.37
2023-02-09,32130718.79
2023-02-10,31493607.25
2023-02-11,31657706.53
2023-02-12,31777507.19
2023-02-13,32695144.84
2023-02-14,32728363.44
2023-02-15,32916984.32
2023-02-16,38600315.14
2023-02-17,39243782.64
2023-02-18,39143767.88
2023-02-19,39055292.4
2023-02-20,39099554.03
2023-02-21,39948099.83
2023-02-22,40057130.72
2023-02-23,40137278.96
2023-02-24,39882792.3
2023-02-25,39828767.4
2023-02-26,39818899.07
2023-02-27,40871420.15
2023-02-28,41100967.69
2023-03-01,41124182.65
2023-03-02,41123900.47
2023-03-03,41059977.08
2023-03-04,41057918.68
2023-03-05,40994131.96
2023-03-06,41051208.97
2023-03-07,40939436.91
2023-03-08,41004867.22
2023-03-09,41135701.38
2023-03-10,41290561.7
2023-03-11,41415357.34
2023-03-12,41523208.56
2023-03-13,41271580.31
2023-03-14,41170462.98
2023-03-15,41173027.15
2023-03-16,41262155.55
2023-03-17,41300468.41
2023-03-18,41142186.51
2023-03-19,41112408.98
2023-03-20,41046796.78
2023-03-21,41010813.83
2023-03-22,41070557.99
2023-03-23,40061197.09
2023-03-24,40054680.97
2023-03-25,40005627.23
2023-03-26,40005599.63
2023-03-27,40130930.75
2023-03-28,40089544.79
2023-03-29,40076278.98
2023-03-30,40188321.78
2023-03-31,40330299.13
2023-04-01,40371626.58
2023-04-02,40361904.41
2023-04-03,40354890.24
