Date,OP_Price,AVPI,PR,LAR,Votable Supply,Circulating Supply
2023-12-04,1.719741023,0.9763780995573924,0.0908219341077703,0.0544451945599792,82765569.72,911294948.0
2023-12-05,1.79032647,0.4458397668879072,0.0905288157923596,0.184732857313688,82498452.48,911294948.0
2023-12-06,1.800778154,0.4662663710982374,0.0910181197997818,0.1124627004313269,82944352.75,911294948.0
2023-12-07,1.712826843,0.4683463644071787,0.0901216054804684,0.114736635371088,82127363.78,911294948.0
2023-12-08,2.17804963,0.38113902331651,0.090155752778298,0.2492917870620688,82158482.04,911294948.0
2023-12-09,2.119848479,0.3531331744322757,0.0900385321130958,0.2109689299440937,82051659.44,911294948.0
2023-12-10,2.033932266,0.3458448474757877,0.089982512489469,0.177387513106742,82000609.04,911294948.0
2023-12-11,2.169642979,0.3501392293148663,0.0897537063049755,0.1421882130775317,81792099.12,911294948.0
2023-12-12,2.288199608,0.318425865969671,0.089471475211119,0.2958726337022566,81534903.35,911294948.0
2023-12-13,2.338079738,0.3139209274369307,0.0896532825286769,0.1959834552237727,81700583.44,911294948.0
2023-12-14,2.236857993,0.3147554505497599,0.0896872042464126,0.1685826945619513,81731496.13,911294948.0
2023-12-15,2.258742575,0.320892051518317,0.0896604210078425,0.1334984203806383,81707088.7,911294948.0
2023-12-16,2.093693816,0.330506606937662,0.0895891114388137,0.1052521027502645,81642104.65,911294948.0
2023-12-17,2.180534896,0.3386069815154789,0.0895465122451222,0.10982987690556,81603284.22,911294948.0
2023-12-18,2.084722368,0.3478683950777427,0.088948778557258,0.0967250250698332,81058572.53,911294948.0
2023-12-19,2.231617724,0.3515665857090903,0.0888379245793865,0.1303705679505339,80957551.86,911294948.0
2023-12-20,2.109474119,0.3616033332520587,0.0886860142343288,0.0820002965254424,80819116.73,911294948.0
2023-12-21,2.242226632,0.3701971713801172,0.0885857872439341,0.0878551493921116,80727780.38,911294948.0
2023-12-22,2.518230752,0.3724686789387337,0.0843307368033384,0.1301210570581707,76850174.41,911294948.0
2023-12-23,3.509716392,0.354016658150487,0.0839507726536853,0.2991403596201105,76503915.0,911294948.0
2023-12-24,3.41863373,0.3432662729976884,0.0835860885514313,0.2550556204222774,76171580.22,911294948.0
2023-12-25,3.588720766,0.3367966823290466,0.0835138912566428,0.2255035566086199,76105787.19,911294948.0
2023-12-26,3.382066719,0.3411331327936452,0.0834672354180547,0.114488937297842,76063269.96,911294948.0
2023-12-27,3.480381226,0.3413367889256535,0.0825764488162179,0.1577507319644799,75251500.63,911294948.0
2023-12-28,3.960804643,0.3313133366259014,0.0823522419439551,0.2805169516733982,75047182.04,911294948.0
2023-12-29,3.594457545,0.3292113730009051,0.0822714735602813,0.191149379964503,74973578.22,911294948.0
2023-12-30,3.908365871,0.3276329311666883,0.0822207062976058,0.1874029138050313,74927314.27,911294948.0
2023-12-31,3.615758367,0.3321140547638533,0.0821964796736698,0.1032617124230615,74905236.67,911294948.0
2024-01-01,3.700179943,0.3359620030614811,0.0820582080852268,0.1093551208148106,74779230.47,911294948.0
2024-01-02,3.99380792,0.3387920640764518,0.0814718307645002,0.121711594068603,74244867.78,911294948.0
2024-01-03,3.71737979,0.3342074497266102,0.0809442054868058,0.1209290144024393,73764045.53,911294948.0
2024-01-04,3.464678433,0.3300388386931249,0.0809749474766099,0.2458130899139367,73792060.55,911294948.0
2024-01-05,3.712274167,0.3275259633928478,0.0809838794365839,0.1506585649843952,73800200.2,911294948.0
2024-01-06,3.417755667,0.3269850012080882,0.0809405058503627,0.1233543975231385,73760674.07,911294948.0
2024-01-07,3.234773639,0.3377204583002304,0.0810247994264092,0.0906554670850137,73837490.38,911294948.0
2024-01-08,3.174226995,0.346568420294968,0.0811136844138413,0.0875688847910701,73918490.82,911294948.0
2024-01-09,3.416112238,0.3509214064842262,0.0770914591227824,0.1127907576880331,73805710.74,957378568.0
2024-01-10,3.59473929,0.351508422819763,0.0771495608830048,0.1281671435739744,73861336.12,957378568.0
2024-01-11,3.950375015,0.3572696240194439,0.0769712796516247,0.2091570415594842,73690653.49,957378568.0
2024-01-12,3.979139222,0.3599866761269112,0.0767191498588048,0.1532060029958962,73449269.83,957378568.0
2024-01-13,3.930769871,0.3563466476927479,0.0766098067279901,0.2050192054766839,73344587.06,957378568.0
2024-01-14,3.817680149,0.3604646170046456,0.0765050802662212,0.0770397958012701,73244324.19,957378568.0
2024-01-15,3.469544839,0.3633020562424514,0.0759756967736925,0.0664933047439314,72737503.78,957378568.0
2024-01-16,3.451304258,0.3653800973969552,0.0759491892761902,0.0800011927795266,72712126.07,957378568.0
2024-01-17,3.604545329,0.3676535902529399,0.0758731003679622,0.0657156915777688,72639280.18,957378568.0
2024-01-18,3.449307555,0.3729917861574542,0.0929989577644274,0.0634738771318368,89035209.01,957378568.0
2024-01-19,3.211256296,0.3733997397685781,0.0929313887878885,0.0733588994343029,88970519.92,957378568.0
2024-01-20,3.197700323,0.3730500976551346,0.0928288820645502,0.0873900542281546,88872382.18,957378568.0
2024-01-21,3.179378433,0.3801221686580248,0.0927468013572662,0.0462564539130141,88793799.87,957378568.0
2024-01-22,3.117681699,0.4046537981962084,0.0927077812859499,0.0362232362071777,88756442.89,957378568.0
2024-01-23,2.970372738,0.4222694979122611,0.0927000835473058,0.0825354445767472,88749073.24,957378568.0
2024-01-24,2.815335671,0.4172542102678934,0.0927409768483557,0.1329938020667259,88788223.61,957378568.0
2024-01-25,2.861549357,0.4226123657326561,0.0927084775517974,0.0632849860509885,88757109.48,957378568.0
