Weights,Monotonicity Score,Average Proportional Increase,Standard Deviation,Total Score
"w1=0.32, w2=0.28, w3=0.25, w4=0.15",0.38434163701067614,1.7822877720765247,0.20084179823167905,0.48837583345113933
"w1=0.3, w2=0.29, w3=0.27, w4=0.13",0.38523131672597866,1.7847955394666848,0.20400737821026207,0.48837255279324765
"w1=0.34, w2=0.28, w3=0.23, w4=0.14",0.3879003558718861,1.7754595417660737,0.2022941462003705,0.48835384242904667
"w1=0.33, w2=0.27, w3=0.26, w4=0.13",0.38701067615658363,1.7771515604815153,0.20198260511167765,0.4883408686410916
"w1=0.31, w2=0.28, w3=0.26, w4=0.14",0.38434163701067614,1.7835213041585722,0.20189226392230508,0.488307400160361
"w1=0.37, w2=0.25, w3=0.24, w4=0.14",0.3887900355871886,1.7688396337913799,0.19955672761995022,0.48829592626588525
"w1=0.34, w2=0.27, w3=0.24, w4=0.14",0.38701067615658363,1.7757020890752775,0.20120440095156586,0.4882844356078776
"w1=0.4, w2=0.24, w3=0.23, w4=0.13",0.39234875444839856,1.7607426991835669,0.20031804809211448,0.48822750263327835
"w1=0.37, w2=0.26, w3=0.23, w4=0.13",0.3905693950177936,1.7672094423874387,0.20166368566594858,0.48822748028659996
"w1=0.37, w2=0.24, w3=0.24, w4=0.15",0.38701067615658363,1.770255840698396,0.1978050251420448,0.48821499867535756
"w1=0.39, w2=0.24, w3=0.23, w4=0.13",0.3914590747330961,1.7628039472030457,0.20032692181813602,0.4881922502617164
"w1=0.33, w2=0.28, w3=0.25, w4=0.14",0.3861209964412811,1.7783626837278128,0.20181644351191794,0.4881881019126278
"w1=0.36, w2=0.27, w3=0.23, w4=0.14",0.3887900355871886,1.7708741242548565,0.201304635792438,0.4881784519068342
"w1=0.33, w2=0.27, w3=0.25, w4=0.15",0.38434163701067614,1.7798566946654295,0.19988069138582776,0.48817795002267567
"w1=0.32, w2=0.28, w3=0.25, w4=0.14",0.38523131672597866,1.780766615518983,0.2019911789868093,0.48817162777074313
"w1=0.35, w2=0.27, w3=0.23, w4=0.14",0.3879003558718861,1.7731213675711168,0.2014126929477161,0.4881506435658516
"w1=0.33, w2=0.28, w3=0.26, w4=0.13",0.38701067615658363,1.7771837362069232,0.2027592533501718,0.4881143093146249
"w1=0.35, w2=0.27, w3=0.24, w4=0.13",0.3887900355871886,1.7719657590621019,0.2022548943440084,0.4881117013028122
"w1=0.37, w2=0.25, w3=0.24, w4=0.13",0.3896797153024911,1.767419035240319,0.20071190986974613,0.48811009173838554
"w1=0.4, w2=0.26, w3=0.21, w4=0.13",0.3932384341637011,1.7603981988600375,0.20209208281992605,0.4880712320078803
"w1=0.34, w2=0.28, w3=0.24, w4=0.14",0.38701067615658363,1.7757356194183536,0.2019648954927543,0.4880629933141363
"w1=0.31, w2=0.28, w3=0.28, w4=0.12",0.3861209964412811,1.7811072752388188,0.20407146382903535,0.48806051411969376
"w1=0.33, w2=0.28, w3=0.24, w4=0.14",0.3861209964412811,1.778080250830832,0.20212576655136769,0.4880388184213967
"w1=0.39, w2=0.25, w3=0.23, w4=0.13",0.3914590747330961,1.762892796076131,0.20091991529020653,0.48803212199471224
"w1=0.36, w2=0.27, w3=0.22, w4=0.14",0.3887900355871886,1.7706015818487866,0.20164734878898677,0.4880211295266556
"w1=0.39, w2=0.26, w3=0.21, w4=0.13",0.39234875444839856,1.7624417454747663,0.20216267094263704,0.4880139250363615
"w1=0.34, w2=0.27, w3=0.25, w4=0.14",0.3861209964412811,1.7759863628525057,0.2008996413839681,0.48798787837595126
"w1=0.36, w2=0.25, w3=0.25, w4=0.14",0.38701067615658363,1.7713483705807842,0.1992957232123829,0.4879862952307338
"w1=0.32, w2=0.29, w3=0.24, w4=0.15",0.38434163701067614,1.7820020296083605,0.20200957296104088,0.4879683525386979
"w1=0.41, w2=0.23, w3=0.23, w4=0.13",0.39234875444839856,1.7586228698937107,0.19978264196387505,0.48796415861377895
"w1=0.34, w2=0.26, w3=0.25, w4=0.15",0.38434163701067614,1.7774675175006451,0.1990007186447677,0.4879641064120368
"w1=0.31, w2=0.29, w3=0.27, w4=0.13",0.38523131672597866,1.7823073062216834,0.20374606768464384,0.4879532993019329
"w1=0.35, w2=0.28, w3=0.23, w4=0.14",0.3879003558718861,1.7731697723168325,0.20214314036661696,0.4879411902893245
"w1=0.37, w2=0.26, w3=0.24, w4=0.13",0.3896797153024911,1.7674904750986173,0.20136684832522164,0.4879278981734026
"w1=0.34, w2=0.27, w3=0.26, w4=0.13",0.38701067615658363,1.774818459864179,0.2018417576147339,0.4879165027667075
"w1=0.39, w2=0.24, w3=0.24, w4=0.13",0.3905693950177936,1.7630902205015564,0.2000383953746422,0.4878912229968154
"w1=0.39, w2=0.25, w3=0.22, w4=0.13",0.3914590747330961,1.7626153061043837,0.2012308067246454,0.4878833565700312
"w1=0.33, w2=0.29, w3=0.23, w4=0.15",0.38523131672597866,1.779313535831049,0.2021677395913358,0.48782804365179844
"w1=0.35, w2=0.27, w3=0.25, w4=0.13",0.3879003558718861,1.772249378438223,0.20197339628425284,0.4878080347383118
"w1=0.33, w2=0.29, w3=0.24, w4=0.14",0.3861209964412811,1.7781093289843306,0.20291632091757345,0.4878074677422347
"w1=0.32, w2=0.29, w3=0.23, w4=0.15",0.38434163701067614,1.7817294815170275,0.2023698516131105,0.4878057593248104
"w1=0.37, w2=0.25, w3=0.25, w4=0.13",0.3887900355871886,1.7677079719785969,0.20043815792080463,0.48780516481307234
"w1=0.36, w2=0.25, w3=0.25, w4=0.13",0.3879003558718861,1.7699041893376704,0.20048703755110273,0.4877849045381463
"w1=0.33, w2=0.28, w3=0.24, w4=0.15",0.38434163701067614,1.7795747399325255,0.20101184762024818,0.4877822122057688
"w1=0.34, w2=0.27, w3=0.25, w4=0.13",0.38701067615658363,1.7745275196385175,0.20210282527192516,0.4877799944244178
"w1=0.32, w2=0.29, w3=0.24, w4=0.14",0.38523131672597866,1.780498687437214,0.20312645261134174,0.48777746006702966
"w1=0.32, w2=0.28, w3=0.24, w4=0.15",0.3834519572953737,1.7820056204921977,0.20117658513145695,0.48777412720668933
"w1=0.39, w2=0.26, w3=0.22, w4=0.13",0.3914590747330961,1.762710825280258,0.20183036746110009,0.48772259218426967
"w1=0.38, w2=0.25, w3=0.23, w4=0.14",0.3887900355871886,1.766387662616152,0.1998401536037001,0.4877205042357147
"w1=0.35, w2=0.27, w3=0.22, w4=0.15",0.3861209964412811,1.7743096410237005,0.20070527426177753,0.4877108441468474
"w1=0.42, w2=0.23, w3=0.22, w4=0.12",0.39412811387900354,1.7550365940914059,0.20122643423456282,0.48770344548741407
"w1=0.36, w2=0.27, w3=0.24, w4=0.13",0.3887900355871886,1.7697416963579298,0.20213480099095876,0.4877029167678927
"w1=0.37, w2=0.25, w3=0.23, w4=0.14",0.3879003558718861,1.7685553900556124,0.19987176376589236,0.48769972681729784
"w1=0.31, w2=0.3, w3=0.24, w4=0.15",0.3834519572953737,1.7844729542675908,0.20308745156490818,0.48769433403173257
"w1=0.38, w2=0.26, w3=0.22, w4=0.13",0.3905693950177936,1.7647999054284178,0.2019026648356394,0.4876738791438886
"w1=0.41, w2=0.24, w3=0.23, w4=0.12",0.3932384341637011,1.7573986221967615,0.20145792521317868,0.48766156395724924
"w1=0.3, w2=0.29, w3=0.25, w4=0.15",0.3816725978647687,1.7873049537751842,0.2021201302665347,0.4876612506074608
"w1=0.32, w2=0.28, w3=0.28, w4=0.12",0.3861209964412811,1.7786933361418338,0.20384299150900478,0.4876462679963059
"w1=0.4, w2=0.24, w3=0.22, w4=0.13",0.3914590747330961,1.7604623118935017,0.20062586125760845,0.48763424136796585
"w1=0.38, w2=0.24, w3=0.23, w4=0.15",0.38701067615658363,1.7677652057272037,0.1981510051298037,0.4876130776847915
"w1=0.4, w2=0.24, w3=0.23, w4=0.12",0.39234875444839856,1.7593960640967443,0.20148055856636587,0.48760942247363837
"w1=0.3, w2=0.29, w3=0.29, w4=0.11",0.3861209964412811,1.7824283496308004,0.2064680626598985,0.4876057493488311
"w1=0.37, w2=0.27, w3=0.23, w4=0.13",0.3896797153024911,1.767290198650308,0.20232319030109175,0.48760094029097967
"w1=0.37, w2=0.24, w3=0.24, w4=0.14",0.38701067615658363,1.7687922332451191,0.19889858471160307,0.48759420931383474
