Date,Votable Supply,Circulating Supply
2022-11-19,23448249.05,214748364.8
2022-11-20,23394729.97,214748364.8
2022-11-21,23453819.02,214748364.8
2022-11-22,23413134.69,214748364.8
2022-11-23,23413362.47,214748364.8
2022-11-24,23393691.12,214748364.8
2022-11-25,23382697.46,214748364.8
2022-11-26,23394490.99,214748364.8
2022-11-27,23760184.35,214748364.8
2022-11-28,23777487.77,214748364.8
2022-11-29,23897806.97,214748364.8
2022-11-30,23731793.76,214748364.8
2022-12-01,23608489.23,214748364.8
2022-12-02,23578524.19,214748364.8
2022-12-03,23530424.74,214748364.8
2022-12-04,23529556.03,214748364.8
2022-12-05,23480848.23,214748364.8
2022-12-06,23507577.53,214748364.8
2022-12-07,23498800.98,214748364.8
2022-12-08,23509499.89,214748364.8
2022-12-09,23459699.83,214748364.8
2022-12-10,23451781.83,214748364.8
2022-12-11,23451124.38,214748364.8
2022-12-12,23519307.1,214748364.8
2022-12-13,23625580.62,214748364.8
2022-12-14,23624239.39,214748364.8
2022-12-15,23710882.93,214748364.8
2022-12-16,23797148.41,214748364.8
2022-12-17,23897239.11,214748364.8
2022-12-18,23908567.06,214748364.8
2022-12-19,23900838.52,214748364.8
2022-12-20,23997014.59,214748364.8
2022-12-21,23969784.82,214748364.8
2022-12-22,24135964.05,214748364.8
2022-12-23,24105439.73,214748364.8
2022-12-24,24001746.03,214748364.8
2022-12-25,23919830.89,214748364.8
2022-12-26,23925921.12,214748364.8
2022-12-27,23895641.72,214748364.8
2022-12-28,23840305.42,214748364.8
2022-12-29,23828483.45,214748364.8
2022-12-30,23793055.9,214748364.8
2022-12-31,23770159.69,214748364.8
2023-01-01,23761839.4,214748364.8
2023-01-02,23752991.25,214748364.8
2023-01-03,23659059.75,214748364.8
2023-01-04,23624683.21,214748364.8
2023-01-05,23608104.36,214748364.8
2023-01-06,23643149.89,214748364.8
2023-01-07,23614361.8,214748364.8
2023-01-08,23534274.24,214748364.8
2023-01-09,23453184.56,214748364.8
2023-01-10,23376050.14,214748364.8
2023-01-11,23437750.92,214748364.8
2023-01-12,23385549.14,214748364.8
2023-01-13,23288831.42,214748364.8
2023-01-14,23082993.59,214748364.8
2023-01-15,22817244.98,214748364.8
2023-01-16,22678920.39,214748364.8
2023-01-17,22674179.01,214748364.8
2023-01-18,22689820.31,214748364.8
2023-01-19,22667298.37,214748364.8
2023-01-20,22586628.44,214748364.8
2023-01-21,22154149.09,214748364.8
2023-01-22,22073698.74,214748364.8
2023-01-23,21963639.36,214748364.8
2023-01-24,21890899.22,214748364.8
2023-01-25,21824514.51,214748364.8
2023-01-26,21757831.44,214748364.8
2023-01-27,21733127.83,214748364.8
2023-01-28,21654118.88,214748364.8
2023-01-29,21643826.05,214748364.8
2023-01-30,21572050.77,214748364.8
2023-01-31,21542231.36,214748364.8
2023-02-01,21438533.99,214748364.8
2023-02-02,21157459.83,214748364.8
2023-02-03,21036028.77,214748364.8
2023-02-04,20847119.92,214748364.8
2023-02-05,21407876.05,214748364.8
2023-02-06,21315147.06,214748364.8
2023-02-07,22280209.68,214748364.8
2023-02-08,22245837.37,214748364.8
2023-02-09,32130718.79,214748364.8
2023-02-10,31493607.25,214748364.8
2023-02-11,31657706.53,214748364.8
2023-02-12,31777507.19,214748364.8
2023-02-13,32695144.84,214748364.8
2023-02-14,32728363.44,214748364.8
2023-02-15,32916984.32,214748364.8
2023-02-16,38600315.14,214748364.8
2023-02-17,39243782.64,214748364.8
2023-02-18,39143767.88,214748364.8
2023-02-19,39055292.4,214748364.8
2023-02-20,39099554.03,214748364.8
2023-02-21,39948099.83,214748364.8
2023-02-22,40057130.72,317487381.0
2023-02-23,40137278.96,314844141.0
2023-02-24,39882792.3,314844141.0
2023-02-25,39828767.4,314844141.0
2023-02-26,39818899.07,314844141.0
2023-02-27,40871420.15,314844141.0
2023-02-28,41100967.69,314844141.0
2023-03-01,41124182.65,314844141.0
2023-03-02,41123900.47,314844141.0
2023-03-03,41059977.08,314844141.0
2023-03-04,41057918.68,314844141.0
2023-03-05,40994131.96,314844141.0
2023-03-06,41051208.97,314844141.0
2023-03-07,40939436.91,314844141.0
2023-03-08,41004867.22,314844141.0
2023-03-09,41135701.38,314844141.0
2023-03-10,41290561.7,314844141.0
2023-03-11,41415357.34,314844141.0
2023-03-12,41523208.56,314844141.0
2023-03-13,41271580.31,314844141.0
2023-03-14,41170462.98,314844141.0
2023-03-15,41173027.15,314844141.0
2023-03-16,41262155.55,314844141.0
2023-03-17,41300468.41,314844141.0
2023-03-18,41142186.51,314844141.0
2023-03-19,41112408.98,314844141.0
2023-03-20,41046796.78,314844141.0
2023-03-21,41010813.83,314844141.0
2023-03-22,41070557.99,314844141.0
2023-03-23,40061197.09,314844141.0
2023-03-24,40054680.97,314844141.0
2023-03-25,40005627.23,314844141.0
2023-03-26,40005599.63,314844141.0
2023-03-27,40130930.75,314844141.0
2023-03-28,40089544.79,314844141.0
2023-03-29,40076278.98,314844141.0
2023-03-30,40188321.78,314844141.0
2023-03-31,40330299.13,314844141.0
2023-04-01,40371626.58,314844141.0
2023-04-02,40361904.41,314844141.0
2023-04-03,40354890.24,314844141.0
2023-04-04,40350616.07,314844141.0
2023-04-05,40184945.37,314844141.0
2023-04-06,40225054.21,314844141.0
2023-04-07,40131353.46,314844141.0
2023-04-08,40105463.89,314844141.0
2023-04-09,40084805.96,314844141.0
2023-04-10,39995882.24,314844141.0
2023-04-11,39999024.71,314844141.0
2023-04-12,39973828.28,314844141.0
2023-04-13,39982268.63,314844141.0
2023-04-14,39907014.06,314844141.0
2023-04-15,39823522.13,314844141.0
2023-04-16,39788259.14,314844141.0
2023-04-17,39734217.21,314844141.0
2023-04-18,39631752.84,314844141.0
2023-04-19,39578267.64,314844141.0
2023-04-20,39522862.16,314844141.0
2023-04-21,39503294.68,314844141.0
2023-04-22,39492761.47,314844141.0
2023-04-23,39458880.46,314844141.0
2023-04-24,39458801.14,314844141.0
2023-04-25,39453801.55,314844141.0
2023-04-26,39471014.53,314844141.0
2023-04-27,40486042.71,314844141.0
2023-04-28,40406446.43,314844141.0
2023-04-29,40438405.41,314844141.0
2023-04-30,40480514.96,314844141.0
2023-05-01,40416413.89,314844141.0
2023-05-02,40372476.46,314844141.0
2023-05-03,40330312.35,314844141.0
2023-05-04,40358201.14,314844141.0
2023-05-05,40385951.43,314844141.0
2023-05-06,40323873.47,314844141.0
2023-05-07,40253848.36,314844141.0
2023-05-08,40276824.93,314844141.0
2023-05-09,38274003.39,314844141.0
2023-05-10,38249154.64,314844141.0
2023-05-11,38347780.17,314844141.0
2023-05-12,38329848.15,335376391.0
2023-05-13,38327226.64,335376391.0
2023-05-14,38287902.53,335376391.0
2023-05-15,38229759.73,335376391.0
2023-05-16,38225744.62,335376391.0
2023-05-17,38480311.67,335376391.0
2023-05-18,38475204.19,335376391.0
2023-05-19,38490523.75,335376391.0
2023-05-20,38492209.77,335376391.0
2023-05-21,38367988.28,335376391.0
2023-05-22,38360734.16,335376391.0
2023-05-23,38312564.67,335376391.0
2023-05-24,38295470.22,335376391.0
2023-05-25,38355117.9,335376391.0
2023-05-26,38347685.33,335376391.0
2023-05-27,38326184.73,335376391.0
2023-05-28,38327561.46,335376391.0
2023-05-29,38269024.26,335376391.0
2023-05-30,38092349.73,335376391.0
2023-05-31,38340310.39,644594782.0
2023-06-01,37725261.23,644594782.0
2023-06-02,37957370.83,644594782.0
2023-06-03,37968933.28,644594782.0
2023-06-04,37943549.39,644594782.0
2023-06-05,37937741.35,644594782.0
2023-06-06,38063561.19,644594782.0
2023-06-07,37955071.42,644594782.0
2023-06-08,37884120.66,644594782.0
2023-06-09,38006759.19,644594782.0
2023-06-10,38887193.01,644594782.0
2023-06-11,38870616.33,644594782.0
2023-06-12,38911349.47,644594782.0
2023-06-13,38893008.3,644594782.0
2023-06-14,38848717.74,644594782.0
2023-06-15,38897741.02,644594782.0
2023-06-16,38998203.21,644594782.0
2023-06-17,38929483.27,644594782.0
2023-06-18,38909327.45,644594782.0
2023-06-19,38925564.16,644594782.0
2023-06-20,39369491.33,644594782.0
2023-06-21,39382665.9,644594782.0
2023-06-22,39597165.79,644594782.0
2023-06-23,39658098.92,644594782.0
2023-06-24,39649981.51,644594782.0
2023-06-25,39704939.58,644594782.0
2023-06-26,39724037.63,644594782.0
2023-06-27,39802833.01,644594782.0
2023-06-28,40012116.56,644594782.0
2023-06-29,38532395.74,644594782.0
2023-06-30,38723350.59,644594782.0
2023-07-01,38866123.81,644594782.0
2023-07-02,38850671.91,644594782.0
2023-07-03,38712399.4,644594782.0
2023-07-04,38683876.44,644594782.0
2023-07-05,38648692.29,644594782.0
2023-07-06,38718262.75,644594782.0
2023-07-07,38725909.2,644594782.0
2023-07-08,38733337.64,644594782.0
2023-07-09,38692178.84,644594782.0
2023-07-10,38707208.4,644594782.0
2023-07-11,38706899.56,644594782.0
2023-07-12,38763286.94,644594782.0
2023-07-13,47015135.98,644594782.0
2023-07-14,47283165.27,644594782.0
2023-07-15,47388940.8,644594782.0
2023-07-16,47403276.91,644594782.0
2023-07-17,47542552.07,644594782.0
2023-07-18,47557484.16,644594782.0
2023-07-19,47641032.14,679080066.0
2023-07-20,47379340.38,679080066.0
2023-07-21,47357546.89,679080066.0
2023-07-22,47418408.36,679080066.0
2023-07-23,47348623.44,679080066.0
2023-07-24,47321411.32,679080066.0
2023-07-25,47774195.0,679080066.0
2023-07-26,47850741.76,679080066.0
2023-07-27,48221377.07,679080066.0
2023-07-28,48775625.92,679080066.0
2023-07-29,48493907.21,679080066.0
2023-07-30,48528020.07,679080066.0
2023-07-31,48521609.26,716708907.0
2023-08-01,48670131.21,716708907.0
2023-08-02,48677351.32,716708907.0
2023-08-03,48522815.3,716708907.0
2023-08-04,48508306.6,716708907.0
2023-08-05,48473897.57,716708907.0
2023-08-06,48536829.36,716708907.0
2023-08-07,48472630.15,716708907.0
2023-08-08,48191057.21,716708907.0
2023-08-09,48170624.96,716708907.0
2023-08-10,48116772.53,716708907.0
2023-08-11,48078324.31,716708907.0
2023-08-12,48100264.37,716708907.0
2023-08-13,48044481.7,716708907.0
2023-08-14,48137604.29,716708907.0
2023-08-15,48136767.23,716708907.0
2023-08-16,48036954.58,716708907.0
2023-08-17,49380747.53,716708907.0
2023-08-18,49662382.31,716708907.0
2023-08-19,49759925.2,716708907.0
2023-08-20,49727381.7,716708907.0
2023-08-21,49732607.89,716708907.0
2023-08-22,49653198.96,716708907.0
2023-08-23,49511066.43,716708907.0
2023-08-24,49419570.3,716708907.0
2023-08-25,49542934.27,716708907.0
2023-08-26,49452754.27,716708907.0
2023-08-27,49110058.34,716708907.0
2023-08-28,48923652.31,716708907.0
2023-08-29,49206550.91,716708907.0
2023-08-30,49210238.62,716708907.0
2023-08-31,49344832.21,798517235.0
2023-09-01,49406645.9,798517235.0
2023-09-02,49420792.14,798517235.0
2023-09-03,49398855.38,798517235.0
2023-09-04,49400563.1,798517235.0
2023-09-05,49398147.25,798517235.0
2023-09-06,49512024.82,798517235.0
2023-09-07,49495267.73,798517235.0
2023-09-08,49431525.11,798517235.0
2023-09-09,49383966.08,798517235.0
2023-09-10,49298037.38,798517235.0
2023-09-11,49316219.32,798517235.0
2023-09-12,49279368.2,798517235.0
2023-09-13,49339576.6,798517235.0
2023-09-14,49551231.01,798517235.0
2023-09-15,49760172.43,798517235.0
2023-09-16,49821032.88,798517235.0
2023-09-17,49836702.53,798517235.0
2023-09-18,68862511.59,798517235.0
2023-09-19,69103749.51,798517235.0
2023-09-20,69163077.87,798517235.0
2023-09-21,69108372.49,798517235.0
2023-09-22,69032037.03,798517235.0
2023-09-23,68981595.28,798517235.0
2023-09-24,69021596.49,798517235.0
2023-09-25,69030360.39,798517235.0
2023-09-26,69005868.88,798517235.0
2023-09-27,69547516.09,798517235.0
2023-09-28,69443623.86,798517235.0
2023-09-29,69472769.34,798517235.0
2023-09-30,69522301.94,798517235.0
2023-10-01,69497087.97,798517235.0
2023-10-02,69446903.39,798517235.0
2023-10-03,69442908.16,880444572.0
2023-10-04,69485403.35,880444572.0
2023-10-05,69399436.81,880444572.0
2023-10-06,69348058.67,880444572.0
2023-10-07,69328602.99,880444572.0
2023-10-08,69316281.65,880444572.0
2023-10-09,70165773.95,880444572.0
2023-10-10,70125581.41,880444572.0
2023-10-11,70361321.03,880444572.0
2023-10-12,70278001.07,880444572.0
2023-10-13,70506312.97,880444572.0
2023-10-14,70442539.9,880444572.0
2023-10-15,70365396.45,880444572.0
2023-10-16,70422268.92,880444572.0
2023-10-17,70367600.48,880444572.0
2023-10-18,70461754.83,880444572.0
2023-10-19,70467516.83,880444572.0
2023-10-20,70643484.13,880444572.0
2023-10-21,70552905.46,880444572.0
2023-10-22,70571743.85,880444572.0
2023-10-23,70410628.42,880444572.0
2023-10-24,70355494.42,880444572.0
2023-10-25,70326202.72,880444572.0
2023-10-26,70364242.02,880444572.0
2023-10-27,80611553.41,880444572.0
2023-10-28,80602286.22,880444572.0
2023-10-29,80620145.37,880444572.0
2023-10-30,80595581.36,880444572.0
2023-10-31,80640893.17,880444572.0
2023-11-01,80211276.8,880444572.0
2023-11-02,80276095.14,880444572.0
2023-11-03,80284076.76,880444572.0
2023-11-04,80271991.03,880444572.0
2023-11-05,80173556.79,880444572.0
2023-11-06,80199957.2,880444572.0
2023-11-07,80172933.48,880444572.0
2023-11-08,80197088.64,880444572.0
2023-11-09,80788630.37,880917403.0
2023-11-10,80583250.56,880917403.0
2023-11-11,80601870.68,880917403.0
2023-11-12,80743813.33,880917403.0
2023-11-13,80552719.14,880917403.0
2023-11-14,80013734.32,880917403.0
2023-11-15,79984044.1,880917403.0
2023-11-16,79738043.34,880917403.0
2023-11-17,82152451.71,880917403.0
2023-11-18,81903232.84,880917403.0
2023-11-19,81855965.05,880917403.0
2023-11-20,81603016.45,880917403.0
2023-11-21,81513468.74,880917403.0
2023-11-22,81662879.02,880917403.0
2023-11-23,81802455.51,880917403.0
2023-11-24,81798513.71,880917403.0
2023-11-25,82265543.75,880917403.0
2023-11-26,82239889.19,880917403.0
2023-11-27,82252049.56,880917403.0
2023-11-28,82295697.84,880917403.0
2023-11-29,82025111.85,880917403.0
2023-11-30,82125172.13,880917403.0
2023-12-01,83479896.3,911294948.0
2023-12-02,83566803.02,911294948.0
2023-12-03,82899327.5,911294948.0
