Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
2023-12-04,5.444987862031885,784032594.7559075,5959240.901661117,143991614.788161,0.0413860273074115
2023-12-05,5.515584890124096,794900047.080633,7039913.58113812,144118903.60058415,0.0488479540522232
2023-12-06,5.57868720277812,804171935.2346882,6609936.522576844,144150748.37575048,0.0458543337239363
2023-12-07,5.670357379039184,817870076.1928438,7762533.334890299,144236072.1770641,0.0538182523811451
2023-12-08,5.6598638132665045,814461095.2105762,8768946.937337974,143901182.4456819,0.0609372820174564
2023-12-09,5.682207573726745,820378516.4221462,8400730.289725846,144376724.32372808,0.0581861815266659
2023-12-10,5.712386249904808,824787653.5658573,7354753.344379497,144385834.1301066,0.0509381920234093
2023-12-11,5.710001699683539,822839864.5960116,7915488.453966294,144105012.20019168,0.0549286130517795
2023-12-12,5.674069230390647,817473112.8945606,8674593.808269048,144071755.15521148,0.060210232039748
2023-12-13,5.710084124234229,821793195.3874702,8332163.706041962,143919630.1679145,0.0578945602925787
2023-12-14,5.705917100763285,822826504.1211947,7966567.529637909,144205828.71965045,0.0552444211192437
2023-12-15,5.705252262088975,821998343.4669416,8448915.202401659,144077475.57966304,0.0586414716693873
2023-12-16,5.675374842157678,819418285.4330173,7870506.769653095,144381350.69885334,0.0545119347585906
2023-12-17,5.659562864454848,815186714.2599056,7709140.897771008,144037045.5781531,0.0535219315754994
2023-12-18,5.670024106262543,816791488.5597458,6965192.032160034,144054323.80042255,0.0483511487083847
2023-12-19,5.691897842756796,821280347.5824754,7641787.152174405,144289368.9013749,0.0529615397888235
2023-12-20,5.694895553953864,821064539.7993333,8279124.172599,144175522.10053843,0.0574239236451364
2023-12-21,5.756775481703281,830212634.3302569,8552103.997412987,144214871.1494683,0.0593011242824559
2023-12-22,5.7460450076150895,828244611.286454,9332133.869529372,144141685.31377706,0.0647427831110381
2023-12-23,5.768407889916578,831779028.8683615,8816284.726879613,144195598.63690406,0.0611411500088828
2023-12-24,5.842499754467801,841676884.9977856,8182216.848204705,144061090.34992245,0.056796854919883
2023-12-25,5.797899500960414,836091374.77957,7733908.863099659,144205910.19921485,0.0536310117415823
2023-12-26,5.819468396096487,838662886.0151819,8660237.710444372,144113315.67291096,0.0600932514112728
2023-12-27,5.79338291143107,835588808.8801367,8908487.937793024,144231586.5625618,0.0617651663557682
2023-12-28,5.804902860129962,836999573.7441411,9486450.568115097,144188385.9061514,0.0657920574427512
2023-12-29,5.800366390670311,836170152.7854205,8462134.512909375,144158161.13450548,0.0587003499927684
2023-12-30,5.77330560058949,832667110.9586343,8369839.152461333,144227097.70873967,0.0580323620555955
2023-12-31,5.7732377349719055,832128069.1036636,8519662.474975994,144135424.0555474,0.0591087342393543
2024-01-01,5.772803488401556,831996507.8792186,7761833.0468840655,144123476.49644175,0.0538554386528116
2024-01-02,5.810762434418266,837416527.1755141,8546008.038586764,144114741.67577985,0.0593000267648748
2024-01-03,6.010515645027058,866237789.3997532,10198101.636612108,144120378.44314662,0.0707609967915474
2024-01-04,5.92376682265974,854797453.2487085,11033638.45449647,144299645.62057304,0.0764633787355842
2024-01-05,6.02114485432726,868674063.7887466,10878495.129471743,144270580.5631715,0.0754034196508164
2024-01-06,6.044756149126619,870625177.6932716,12313126.011449166,144029826.21872422,0.0854901122545993
2024-01-07,6.021613189698612,867861021.2151365,11533213.059105108,144124339.08903635,0.0800226605166264
2024-01-08,6.0761161805010415,875551297.8539081,9254160.396049766,144097194.9587885,0.0642216553812614
2024-01-09,6.215928357558881,895400980.3795398,9481852.719046198,144049437.00657156,0.0658236013696716
2024-01-10,6.286292088724041,905085169.6779402,9629580.194160825,143977587.56730786,0.0668824943997558
2024-01-11,6.26796276168102,901037628.3787493,8760216.729325106,143752868.7769513,0.0609394219667195
2024-01-12,6.384125795642505,919089275.313478,11005587.6784435,143964781.51179352,0.0764463889214594
2024-01-13,6.298490934650959,905648638.736706,10832577.457977643,143788194.36800444,0.0753370435284365
2024-01-14,6.226600703922324,897299313.8509415,10409335.960167376,144107412.13672262,0.072233175281029
2024-01-15,6.248311816632232,901249816.2325346,10460839.321447054,144238930.87946078,0.0725243819935762
2024-01-16,6.316640689787526,910638551.6769636,8741175.916373603,144165007.38268128,0.0606331319580932
2024-01-17,6.142102206603174,886019162.5414459,8633512.332513286,144253405.8760721,0.0598496255951857
2024-01-18,6.232924772487506,898356161.7901238,8465714.301474052,144130756.35944146,0.0587363482667208
2024-01-19,6.275474326053534,904749270.0915792,9447927.377491953,144172252.65911496,0.0655322172140217
2024-01-20,6.31379711180124,909655861.0610071,8834183.27505899,144074293.955495,0.0613168597431259
2024-01-21,6.369103254207113,917353023.9835056,8477532.776571047,144031740.00634196,0.0588587819337443
2024-01-22,6.35258565379372,916143112.3375304,7608487.676118058,144215782.7168243,0.0527576630850296
2024-01-23,6.261171065373846,901904458.5324122,8509279.808535026,144047247.5700615,0.0590728386142629
2024-01-24,6.256362904531115,901764508.5570048,9294612.622671526,144135582.0174546,0.0644852054751196
2024-01-25,6.224202412832644,897022821.9184356,9671887.501973731,144118517.10815412,0.0671106509839775
