Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply,LAR
04-12-2023,0.1219373548933006,3420723901.3791914,51834318.63294569,28053125347.621662,0.0018477199239171
05-12-2023,0.1222223443985719,3432064820.890948,103514025.0244339,28080502282.78101,0.0036863309631006
06-12-2023,0.1223948565998367,3438189692.364859,76874151.37521522,28090965485.631725,0.0027366147815223
07-12-2023,0.1256142991708255,3530012720.9133315,76858831.84957936,28101997497.217987,0.0027349953275452
08-12-2023,0.1260305379477316,3541234225.647075,87098935.37971684,28098223520.36396,0.003099802210506
09-12-2023,0.1324366309665484,3726838430.589751,93215362.9843082,28140540901.641457,0.0033124936478698
10-12-2023,0.133499037937983,3754775804.801179,148683741.35909018,28125864147.017,0.0052863706011628
11-12-2023,0.1330748705010338,3744199387.250051,70224710.67497239,28136036301.616856,0.0024958992063475
12-12-2023,0.1233452407325921,3470286542.166784,120089480.32124546,28134742139.668232,0.0042683696806279
13-12-2023,0.1228868580479623,3461952260.412792,63447930.271289535,28171867320.927044,0.002252173402228
14-12-2023,0.1247912664569522,3513404002.7934504,70300013.71181117,28154245906.34657,0.002496959568573
15-12-2023,0.1274382108628486,3588844832.292167,65287009.199691005,28161450227.471783,0.0023183113324186
16-12-2023,0.1226564589688462,3463433229.190847,72315326.0603326,28236859748.82522,0.0025610257905304
17-12-2023,0.1243449044120514,3502712726.3888235,59431015.251349725,28169330644.87797,0.0021097773319706
18-12-2023,0.1220596934043395,3442310141.251255,51168049.9807,28201858002.773525,0.001814350316056
19-12-2023,0.1209660809800767,3410763179.63856,92199116.16121349,28196029432.41846,0.0032699326116891
20-12-2023,0.1191676053797475,3360280152.787621,73738607.04752588,28197933004.355705,0.0026150358977069
21-12-2023,0.1216815837233977,3434394987.427325,51178351.05476012,28224443521.66117,0.0018132634223765
22-12-2023,0.1241329560991707,3499985189.493212,62791750.20567703,28195455094.9149,0.0022270167299765
23-12-2023,0.1265172935207745,3574790860.170864,83746058.35791922,28255353562.26911,0.0029639005639536
24-12-2023,0.1262807162295411,3570084705.597461,62126225.90455836,28271020407.487225,0.0021975232944936
25-12-2023,0.1257420379133779,3557096918.1926584,65625620.98220607,28288844186.246586,0.0023198410140104
26-12-2023,0.1309614994590333,3697923644.58229,96892576.14799093,28236723463.440903,0.0034314383633583
27-12-2023,0.1256892090830462,3551029271.173435,103352887.81861366,28252459356.53216,0.0036581908326758
28-12-2023,0.1308241781009457,3696697625.138138,102395786.38501585,28256991014.96143,0.0036237328429909
29-12-2023,0.1323380176765311,3745896987.6145697,137312646.07888815,28305524394.13536,0.0048510899910173
30-12-2023,0.129470939569695,3655315182.161663,87766795.05766627,28232707620.02916,0.0031086920970839
31-12-2023,0.1326508157584913,3749062121.12049,110001564.38564292,28262639017.208626,0.0038921193565351
01-01-2024,0.1287528617317734,3640144586.590745,64016999.840353645,28272339252.34328,0.0022642979510458
02-01-2024,0.1318293466066846,3725573699.683902,57317627.12780206,28260579268.43272,0.0020281830242533
03-01-2024,0.1294741904460515,3653949568.037115,81822156.15685016,28221451359.911144,0.0028992894487729
04-01-2024,0.1204606681430316,3407357925.550229,147324147.9903891,28286061982.52551,0.0052083654515571
05-01-2024,0.1213345921248426,3431827196.2916627,87927834.50949302,28283996642.61131,0.0031087485838909
06-01-2024,0.1188933830535817,3361434898.49912,112847355.35695183,28272682736.13024,0.0039913918466867
07-01-2024,0.1200078193260674,3398031812.583323,84506565.51617867,28315086730.72957,0.0029845066808312
08-01-2024,0.1150834811237855,3252402344.804,69019245.84636925,28261244038.192287,0.0024421871080089
09-01-2024,0.119595014629405,3381325633.0559006,119613023.75166573,28273131982.414,0.0042306251683069
10-01-2024,0.1161343874711746,3280415278.0989165,101764741.27570003,28246717871.6824,0.0036027102949797
11-01-2024,0.1205316187490622,3410138011.793392,126749534.50013372,28292476672.80601,0.0044799731026008
12-01-2024,0.1236034622081914,3499771646.974439,128936992.3961062,28314511458.25996,0.0045537424364951
13-01-2024,0.1189378986786813,3366005498.744029,109537358.081604,28300529403.47902,0.0038705056191683
14-01-2024,0.1199627226686806,3395482823.958659,63287778.70478892,28304482829.52431,0.0022359630835145
15-01-2024,0.1179868907268029,3350849002.736904,65363590.244315766,28400180580.194702,0.0023015202336388
16-01-2024,0.1180232539922162,3344741461.5131555,63889313.73759743,28339681786.216,0.0022544118250711
17-01-2024,0.1185087268869712,3359788255.802225,63192230.350317806,28350555643.101746,0.0022289591479556
18-01-2024,0.1186577206785871,3365000130.120424,65064347.54871077,28358880575.79778,0.0022943200234863
19-01-2024,0.114083936001736,3237276178.424836,64773996.413517565,28376266561.977444,0.0022826821235289
20-01-2024,0.1137652339948063,3230194403.7868743,76492287.39477813,28393510832.44236,0.002694005959537
21-01-2024,0.1151164099169161,3270743011.470796,52916790.32520318,28412482754.034943,0.0018624486562227
22-01-2024,0.1154681034636835,3280196743.181749,49489964.96485624,28407816919.01105,0.0017421248913969
23-01-2024,0.1125302039165301,3190931269.6785207,72656484.07899266,28356220451.22579,0.002562276739383
24-01-2024,0.1115437385683365,3163577835.052792,78992524.37561539,28361769792.346046,0.0027851761351272
25-01-2024,0.1125750893994603,3195207409.6944027,68514831.64342266,28382899154.150875,0.0024139476123038
26-01-2024,0.1118232269464633,3174579052.373592,61974483.43827767,28389263474.69348,0.0021830254065422
27-01-2024,0.1158306860817421,3286378581.9907928,65325812.15114581,28372262076.31701,0.0023024534305875
28-01-2024,0.116273593358997,3303143264.8771534,45986794.65349596,28408370030.146324,0.0016187762481513
29-01-2024,0.1137845941709102,3231974870.497511,57721163.96157848,28404327440.34681,0.002032125706296
30-01-2024,0.116421888017143,3302049315.409301,60362604.90246263,28362787888.50321,0.0021282324269304
31-01-2024,0.1127644808072595,3199298164.93106,69302923.79082571,28371506187.30197,0.0024426945588755
01-02-2024,0.1099509784485772,3122372801.7783294,79679486.65384111,28397862809.73048,0.0028058268746385
02-02-2024,0.1098212756306284,3116823570.272016,63110756.383318976,28380872033.895336,0.0022237074430956
03-02-2024,0.1103751620908828,3134158352.062907,59262120.58173111,28395503958.41996,0.0020870247863362
04-02-2024,0.1109417328459919,3150615177.615152,58634157.56089357,28398827896.340862,0.0020646682241575
05-02-2024,0.1093586832507743,3104514854.6190853,43944222.22475446,28388370839.28682,0.001547965625556
