Date,Volume Traded (24h),Circulating Supply
02/05/2024,243142913.7,1045880758
03/05/2024,156912127.1,1046143942
04/05/2024,125705829.1,1047743066
05/05/2024,111380095.8,1044770826
06/05/2024,81906489.73,1042960896
07/05/2024,94593255.06,1045955377
08/05/2024,86276474.22,1045934818
09/05/2024,77806479.06,1046012728
10/05/2024,60534830.13,1045444778
11/05/2024,72960680.26,1045690286
12/05/2024,52084271.7,1045838225
13/05/2024,41686144.53,1045777588
14/05/2024,76298433.54,1044802342
15/05/2024,72798848.56,1046381508
16/05/2024,116806102.9,1047563577
17/05/2024,93605488.95,1046102303
18/05/2024,114733559.1,1085275425
19/05/2024,63140093.63,1087697774
20/05/2024,58300555.58,1085589409
21/05/2024,128968938.3,1086531130
22/05/2024,187223132.4,1086006621
23/05/2024,163135595.9,1086164971
24/05/2024,280931281.5,1088180381
25/05/2024,137015989.3,1088403227
26/05/2024,95151666.67,1084966753
27/05/2024,96891098.23,1088210793
28/05/2024,129480407.6,1087356378
29/05/2024,113590690.3,1087403864
30/05/2024,91300350.73,1086927663
31/05/2024,91254053.9,1086906727
01/06/2024,76363737.03,1087410263
02/06/2024,48485623.7,1086518380
03/06/2024,62546946.22,1087656934
04/06/2024,73697278.4,1086656404
05/06/2024,69044026.14,1086596589
06/06/2024,73277566.14,1085976332
07/06/2024,63333658.56,1087153251
08/06/2024,152911730,1087873071
09/06/2024,105586669.4,1086547737
10/06/2024,107876716.3,1086191445
11/06/2024,114935144.4,1086779317
12/06/2024,197708098.3,1085579707
13/06/2024,148207921.3,1086929003
14/06/2024,112969601.5,1088408813
15/06/2024,129945883.1,1087291290
16/06/2024,87795483.93,1086134932
17/06/2024,74689372.26,1086016611
18/06/2024,129940508,1083978029
19/06/2024,180817651.9,1084831011
20/06/2024,121731450.8,1118324221
21/06/2024,122608120.9,1122740293
22/06/2024,104630717.3,1121456515
23/06/2024,65933378.63,1121341474
24/06/2024,75642935.45,1121223309
25/06/2024,134159201.4,1120395665
26/06/2024,100751649.9,1120361699
27/06/2024,91034303.78,1120815821
28/06/2024,109974981.2,1121611327
29/06/2024,93406525.28,1122274866
30/06/2024,64446143.84,1121724501
01/07/2024,73908756.03,1120543707
02/07/2024,92450678.45,1119898551
03/07/2024,79272162.17,1120279470
04/07/2024,111183901.8,1121226887
05/07/2024,219931977.3,1124317492
06/07/2024,286700337,1120886066
07/07/2024,128408410.4,1120499647
08/07/2024,112777888.5,1119676217
09/07/2024,185140407,1120714821
10/07/2024,139942847.7,1124732394
11/07/2024,142032431.3,1121683993
12/07/2024,121439698.3,1120713862
13/07/2024,146667595.2,1120589543
14/07/2024,96521036.53,1123703103
15/07/2024,109130239,1124880560
16/07/2024,153261791.5,1123235215
17/07/2024,168249278.8,1121519358
18/07/2024,144941147.4,1123491633
19/07/2024,119949744,1121450930
20/07/2024,135467583.5,1121623476
21/07/2024,87005817.86,1122241782
22/07/2024,115935032.3,1120664641
23/07/2024,107053625.6,1121145337
24/07/2024,160484355.2,1121290715
25/07/2024,106973141.6,1121728540
26/07/2024,170032392.5,1121952563
27/07/2024,117746708.7,1121717912
28/07/2024,115398656.4,1122335013
29/07/2024,99687875.82,1122215336
30/07/2024,132619242.1,1122085703
31/07/2024,130308332.2,1121582114
01/08/2024,126978990.3,1185286499
02/08/2024,119162000.5,1187853537
03/08/2024,158407121.4,1184279536
04/08/2024,153000637.2,1187006439
05/08/2024,147003432.3,1188863579
06/08/2024,474200449.3,1185151838
07/08/2024,217940397.6,1187596466
08/08/2024,156999656.2,1188294951
09/08/2024,150261177.4,1187201366
10/08/2024,128400151.8,1185069154
11/08/2024,92696145.69,1187840423
12/08/2024,126943831.6,1187596466
13/08/2024,181081272.8,1188821182
14/08/2024,115997622.5,1187596466
15/08/2024,123372245.4,1187165124
16/08/2024,151932630.1,1187505798
17/08/2024,135044451.7,1188631441
18/08/2024,114648540.3,1187465366
19/08/2024,113447122.4,1187962784
20/08/2024,147300390.5,1187484082
21/08/2024,111984480.4,1187596466
22/08/2024,109340669,1187450923
23/08/2024,101511751.4,1187623797
24/08/2024,132871822.8,1185850971
25/08/2024,103105342.4,1184373519
26/08/2024,104294402.4,1189212182
27/08/2024,103295822.2,1187078109
28/08/2024,153422129.6,1191602292
29/08/2024,152681912.7,1190415814
30/08/2024,124698495.6,1187619096
31/08/2024,115317695.9,1187683488
01/09/2024,64537837.42,1187358193
02/09/2024,85453325.84,1189244545
03/09/2024,94137250.32,1187511201
04/09/2024,81282319.53,1192157104
05/09/2024,112460582,1187188286
06/09/2024,94544560.13,1186971819
07/09/2024,151044864.7,1187915561
08/09/2024,100771956.4,1187521520
09/09/2024,107988785,1190746407
10/09/2024,87112718.24,1188635082
11/09/2024,100395983.3,1187641185
12/09/2024,101917213.6,1188503816
13/09/2024,85049936.16,1188031305
14/09/2024,80734692.8,1188441541
15/09/2024,64872902.72,1187262377
16/09/2024,67696408.53,1187897482
17/09/2024,86920241.16,1187589323
18/09/2024,95663744,1187564978
19/09/2024,94771320.87,1186117266
20/09/2024,110803517.7,1186724627
21/09/2024,115858751.2,1186402978
22/09/2024,90555633.16,1187550173
23/09/2024,89496854.67,1187913670
24/09/2024,102093400.8,1187178744
25/09/2024,108410623.3,1187539751
26/09/2024,94731685.89,1186455512
27/09/2024,106246153.1,1187466910
