Date,PR
05-02-2023,0.099688191
06-02-2023,0.099256388
07-02-2023,0.103750311
08-02-2023,0.103590253
09-02-2023,0.149620319
10-02-2023,0.146653537
11-02-2023,0.147417684
12-02-2023,0.147975549
13-02-2023,0.152248632
14-02-2023,0.152403319
15-02-2023,0.153281653
16-02-2023,0.179746724
17-02-2023,0.182743103
18-02-2023,0.182277373
19-02-2023,0.181865377
20-02-2023,0.182071487
21-02-2023,0.186022836
22-02-2023,0.126169206
23-02-2023,0.127483011
24-02-2023,0.126674716
25-02-2023,0.126503124
26-02-2023,0.12647178
27-02-2023,0.129814771
28-02-2023,0.130543854
01-03-2023,0.130617589
02-03-2023,0.130616693
03-03-2023,0.130413661
04-03-2023,0.130407123
05-03-2023,0.130204525
06-03-2023,0.130385812
07-03-2023,0.130030804
08-03-2023,0.130238622
09-03-2023,0.130654175
10-03-2023,0.131146038
11-03-2023,0.131542411
12-03-2023,0.131884965
13-03-2023,0.13108575
14-03-2023,0.130764584
15-03-2023,0.130772728
16-03-2023,0.131055815
17-03-2023,0.131177504
18-03-2023,0.130674773
19-03-2023,0.130580194
20-03-2023,0.130371798
21-03-2023,0.13025751
22-03-2023,0.130447268
23-03-2023,0.127241361
24-03-2023,0.127220665
25-03-2023,0.127064862
26-03-2023,0.127064774
27-03-2023,0.127462848
28-03-2023,0.127331399
29-03-2023,0.127289264
30-03-2023,0.127645132
31-03-2023,0.128096076
01-04-2023,0.12822734
02-04-2023,0.12819646
03-04-2023,0.128174182
04-04-2023,0.128160607
05-04-2023,0.127634407
06-04-2023,0.1277618
07-04-2023,0.12746419
08-04-2023,0.12738196
09-04-2023,0.127316347
10-04-2023,0.12703391
11-04-2023,0.127043891
12-04-2023,0.126963863
13-04-2023,0.126990671
14-04-2023,0.126751649
15-04-2023,0.126486464
16-04-2023,0.126374463
17-04-2023,0.126202816
18-04-2023,0.125877371
19-04-2023,0.125707493
20-04-2023,0.125531515
21-04-2023,0.125469366
22-04-2023,0.12543591
23-04-2023,0.125328298
24-04-2023,0.125328046
25-04-2023,0.125312167
26-04-2023,0.125366838
27-04-2023,0.128590745
28-04-2023,0.128337933
29-04-2023,0.128439441
30-04-2023,0.128573188
01-05-2023,0.128369592
02-05-2023,0.128230039
03-05-2023,0.128096118
04-05-2023,0.128184698
05-05-2023,0.128272838
06-05-2023,0.128075667
07-05-2023,0.127853255
08-05-2023,0.127926233
09-05-2023,0.121564922
10-05-2023,0.121485998
11-05-2023,0.12179925
12-05-2023,0.114289047
13-05-2023,0.11428123
14-05-2023,0.114163977
15-05-2023,0.113990611
16-05-2023,0.113978639
17-05-2023,0.114737688
18-05-2023,0.114722459
19-05-2023,0.114768137
20-05-2023,0.114773165
21-05-2023,0.11440277
22-05-2023,0.114381141
23-05-2023,0.114237513
24-05-2023,0.114186542
25-05-2023,0.114364395
26-05-2023,0.114342233
27-05-2023,0.114278124
28-05-2023,0.114282229
29-05-2023,0.114107687
30-05-2023,0.113580892
31-05-2023,0.05947971
01-06-2023,0.058525545
02-06-2023,0.058885632
03-06-2023,0.058903569
04-06-2023,0.058864189
05-06-2023,0.058855179
06-06-2023,0.059050371
07-06-2023,0.058882064
08-06-2023,0.058771994
09-06-2023,0.058962251
10-06-2023,0.060328123
11-06-2023,0.060302406
12-06-2023,0.060365598
13-06-2023,0.060337144
14-06-2023,0.060268433
15-06-2023,0.060344486
16-06-2023,0.06050034
17-06-2023,0.06039373
18-06-2023,0.060362461
19-06-2023,0.06038765
20-06-2023,0.061076342
21-06-2023,0.06109678
22-06-2023,0.061429548
23-06-2023,0.061524077
24-06-2023,0.061511484
25-06-2023,0.061596744
26-06-2023,0.061626372
27-06-2023,0.061748612
28-06-2023,0.062073286
29-06-2023,0.059777703
30-06-2023,0.060073944
01-07-2023,0.060295437
02-07-2023,0.060271465
03-07-2023,0.060056954
04-07-2023,0.060012705
05-07-2023,0.059958122
06-07-2023,0.060066051
07-07-2023,0.060077913
08-07-2023,0.060089437
09-07-2023,0.060025585
10-07-2023,0.060048901
11-07-2023,0.060048422
12-07-2023,0.060135899
13-07-2023,0.072937506
14-07-2023,0.073353317
15-07-2023,0.073517413
16-07-2023,0.073539653
17-07-2023,0.07375572
18-07-2023,0.073778885
19-07-2023,0.070155251
20-07-2023,0.069769888
21-07-2023,0.069737796
22-07-2023,0.069827419
23-07-2023,0.069724655
24-07-2023,0.069684583
25-07-2023,0.070351344
