Date,OP_Price
2022-05-31,1.39842436
2022-06-01,1.39842436
2022-06-02,1.237602852
2022-06-03,1.544823717
2022-06-04,1.379351845
2022-06-05,1.391599292
2022-06-06,1.171833588
2022-06-07,1.324111055
2022-06-08,1.11424084
2022-06-09,0.727405713
2022-06-10,0.827226096
2022-06-11,0.874805159
2022-06-12,0.759327411
2022-06-13,0.653574046
2022-06-14,0.534117188
2022-06-15,0.570536133
2022-06-16,0.587183059
2022-06-17,0.489187242
2022-06-18,0.519141904
2022-06-19,0.451041153
2022-06-20,0.506928205
2022-06-21,0.505144921
2022-06-22,0.512090815
2022-06-23,0.461404781
2022-06-24,0.524876276
2022-06-25,0.59327722
2022-06-26,0.581705044
2022-06-27,0.55477845
2022-06-28,0.536431152
2022-06-29,0.529068726
2022-06-30,0.581692231
2022-07-01,0.538182689
2022-07-02,0.532399125
2022-07-03,0.5265216
2022-07-04,0.520699504
2022-07-05,0.563048452
2022-07-06,0.523572193
2022-07-07,0.544595429
2022-07-08,0.576493197
2022-07-09,0.576739364
2022-07-10,0.575984105
2022-07-11,0.534195698
2022-07-12,0.482116294
2022-07-13,0.452329641
2022-07-14,0.470336983
2022-07-15,0.492481756
2022-07-16,0.481152892
2022-07-17,0.520622929
2022-07-18,0.580015832
2022-07-19,0.816465715
2022-07-20,0.71785999
2022-07-21,0.686951048
2022-07-22,0.768611303
2022-07-23,0.827356336
2022-07-24,0.93806088
2022-07-25,0.922878297
2022-07-26,0.802588042
2022-07-27,0.821331139
2022-07-28,1.053699352
2022-07-29,1.434078583
2022-07-30,1.831493987
2022-07-31,1.802167296
2022-08-01,1.59016576
2022-08-02,1.510694453
2022-08-03,1.614301874
2022-08-04,1.998719551
2022-08-05,1.918439215
2022-08-06,1.928061103
2022-08-07,1.919091142
2022-08-08,1.912903099
2022-08-09,1.898502009
2022-08-10,1.63032982
2022-08-11,1.560041392
2022-08-12,1.565202905
2022-08-13,1.642203144
2022-08-14,1.538228315
2022-08-15,1.44099785
2022-08-16,1.542489039
2022-08-17,1.452240133
2022-08-18,1.317193213
2022-08-19,1.199750086
2022-08-20,1.219763009
2022-08-21,1.130792094
2022-08-22,1.181936793
2022-08-23,1.16417243
2022-08-24,1.333098447
2022-08-25,1.226462871
2022-08-26,1.17976344
2022-08-27,1.016014102
2022-08-28,1.032894589
2022-08-29,1.063401822
2022-08-30,1.174557026
2022-08-31,1.07859126
2022-09-01,1.125112907
2022-09-02,1.181292943
2022-09-03,1.231996722
2022-09-04,1.193810331
2022-09-05,1.171366484
2022-09-06,1.196454271
2022-09-07,1.103810454
2022-09-08,1.173440797
2022-09-09,1.180305056
2022-09-10,1.411419603
2022-09-11,1.391642705
2022-09-12,1.399428109
2022-09-13,1.2575397
2022-09-14,1.179616817
2022-09-15,1.215825279
2022-09-16,1.128709013
2022-09-17,1.102737316
2022-09-18,1.132730053
2022-09-19,0.928497993
2022-09-20,0.957897238
2022-09-21,0.919685517
2022-09-22,0.896934996
2022-09-23,0.941632777
2022-09-24,0.9483692
2022-09-25,0.919497648
2022-09-26,0.904306604
2022-09-27,0.922321986
2022-09-28,0.91962093
2022-09-29,0.90958207
2022-09-30,0.905410811
2022-10-01,0.912183299
2022-10-02,0.893657649
2022-10-03,0.844119229
2022-10-04,0.871322272
2022-10-05,0.872611058
2022-10-06,0.861079158
2022-10-07,0.850415137
2022-10-08,0.84532315
2022-10-09,0.835393403
2022-10-10,0.844030535
2022-10-11,0.757380108
2022-10-12,0.740708842
2022-10-13,0.747370432
2022-10-14,0.735699627
2022-10-15,0.716888013
2022-10-16,0.686692359
2022-10-17,0.698799455
2022-10-18,0.764248926
2022-10-19,0.741910132
2022-10-20,0.688850941
2022-10-21,0.671864238
2022-10-22,0.731914756
2022-10-23,0.748709432
2022-10-24,0.835208583
2022-10-25,0.843729578
2022-10-26,0.970328218
2022-10-27,1.115485708
2022-10-28,1.071796032
2022-10-29,1.155120152
2022-10-30,1.081893074
2022-10-31,1.041415284
2022-11-01,1.038577299
2022-11-02,1.002344139
2022-11-03,1.030246616
2022-11-04,1.116478308
2022-11-05,1.350019286
2022-11-06,1.310309685
2022-11-07,1.286465757
2022-11-08,1.3164653
2022-11-09,0.965317654
2022-11-10,0.785556247
2022-11-11,1.047585962
2022-11-12,1.017029492
2022-11-13,0.916523968
2022-11-14,0.90328645
2022-11-15,0.92447048
2022-11-16,0.930315618
2022-11-17,0.901190509
2022-11-18,0.890211731
2022-11-19,0.917624783
2022-11-20,0.931572966
2022-11-21,0.848692043
2022-11-22,0.848000657
2022-11-23,0.857757236
2022-11-24,0.933132172
2022-11-25,0.947774727
2022-11-26,0.921605937
2022-11-27,0.90737711
2022-11-28,0.884079568
2022-11-29,0.873949458
2022-11-30,0.892257287
2022-12-01,1.007426511
2022-12-02,1.054708106
2022-12-03,1.10668659
2022-12-04,1.042219693
2022-12-05,1.065657884
2022-12-06,1.029365933
2022-12-07,1.058892635
2022-12-08,1.022075886
2022-12-09,1.081915801
2022-12-10,1.070174105
2022-12-11,1.046826449
2022-12-12,1.016729403
2022-12-13,1.040932115
2022-12-14,1.130190203
2022-12-15,1.152444254
2022-12-16,1.062711318
2022-12-17,0.940455996
2022-12-18,0.944086848
2022-12-19,0.925889421
2022-12-20,0.885260556
2022-12-21,0.974452348
2022-12-22,0.961185177
2022-12-23,0.95055393
2022-12-24,0.954410054
2022-12-25,0.932058279
2022-12-26,0.932524448
2022-12-27,0.947080658
2022-12-28,0.93969735
2022-12-29,0.895657808
2022-12-30,0.914973199
2022-12-31,0.912108136
2023-01-01,0.917297436
2023-01-02,0.922369591
2023-01-03,0.958421975
2023-01-04,0.956912746
2023-01-05,1.030620638
2023-01-06,1.022354039
2023-01-07,1.087008882
2023-01-08,1.09546175
2023-01-09,1.257638348
2023-01-10,1.25507622
2023-01-11,1.266038115
2023-01-12,1.284285827
2023-01-13,1.392671418
2023-01-14,1.585713601
2023-01-15,1.726907788
2023-01-16,1.823820012
2023-01-17,1.790868322
2023-01-18,1.739004663
2023-01-19,1.66540394
2023-01-20,1.750453744
2023-01-21,2.133839915
2023-01-22,2.214364103
2023-01-23,2.189817
2023-01-24,2.184133322
2023-01-25,1.985411113
2023-01-26,2.380461596
2023-01-27,2.218329244
2023-01-28,2.274902435
2023-01-29,2.175020845
2023-01-30,2.387443431
2023-01-31,2.129972136
2023-02-01,2.173097311
2023-02-02,2.721713446
2023-02-03,2.809325495
2023-02-04,3.103357637
2023-02-05,2.997612091
2023-02-06,2.940935165
2023-02-07,2.910007778
2023-02-08,3.033237392
2023-02-09,2.762756816
2023-02-10,2.401283653
2023-02-11,2.424507048
2023-02-12,2.496798525
2023-02-13,2.332848296
2023-02-14,2.210775942
2023-02-15,2.430954054
2023-02-16,2.828129215
2023-02-17,2.625784029
2023-02-18,2.803068349
2023-02-19,2.776930456
2023-02-20,2.585312486
2023-02-21,2.590244312
2023-02-22,2.514183876
2023-02-23,2.704312049
2023-02-24,2.897511506
2023-02-25,3.051631174
2023-02-26,2.750291815
2023-02-27,3.011408089
2023-02-28,2.896361003
2023-03-01,2.706329287
2023-03-02,2.763184129
2023-03-03,2.72351772
2023-03-04,2.538790026
2023-03-05,2.368444192
2023-03-06,2.430091812
2023-03-07,2.51503123
2023-03-08,2.403660363
2023-03-09,2.23459221
2023-03-10,2.197313876
2023-03-11,2.138897216
2023-03-12,1.876534637
2023-03-13,2.346830016
2023-03-14,2.61596466
2023-03-15,2.725715472
2023-03-16,2.417395202
2023-03-17,2.500155108
2023-03-18,2.7267986
2023-03-19,2.620361216
2023-03-20,2.732573795
2023-03-21,2.495477174
2023-03-22,2.652235472
2023-03-23,2.553382906
2023-03-24,2.49951035
2023-03-25,2.275680573
2023-03-26,2.191602022
2023-03-27,2.269058326
2023-03-28,2.071993433
2023-03-29,2.197812438
2023-03-30,2.23664258
2023-03-31,2.288444417
2023-04-01,2.287395749
2023-04-02,2.279014214
2023-04-03,2.204976805
2023-04-04,2.167605453
2023-04-05,2.235222856
2023-04-06,2.28392836
2023-04-07,2.263170038
2023-04-08,2.266642975
2023-04-09,2.238476697
2023-04-10,2.288721052
2023-04-11,2.352826856
2023-04-12,2.298188357
2023-04-13,2.287248859
2023-04-14,2.431073957
2023-04-15,2.655420016
2023-04-16,2.710946163
2023-04-17,2.686135077
2023-04-18,2.605411134
2023-04-19,2.701424214
2023-04-20,2.542512316
2023-04-21,2.438416701
2023-04-22,2.278328359
2023-04-23,2.308567357
2023-04-24,2.202085156
2023-04-25,2.221270432
2023-04-26,2.247091243
2023-04-27,2.166602048
2023-04-28,2.182790598
2023-04-29,2.143061732
2023-04-30,2.179764821
2023-05-01,2.177346671
2023-05-02,2.08443327
2023-05-03,2.164456228
2023-05-04,2.162867487
2023-05-05,2.025482034
2023-05-06,1.98087375
