Date,Votable Supply,Circulating Supply
05-06-2022,35460574.01,214748364.8
06-06-2022,35676686.11,214748364.8
07-06-2022,35450013.62,214748364.8
08-06-2022,35248663.35,214748364.8
09-06-2022,36641371.68,214748364.8
10-06-2022,35860361.76,214748364.8
11-06-2022,33795831.01,214748364.8
12-06-2022,33507078.69,214748364.8
13-06-2022,33036165.66,214748364.8
14-06-2022,32669370.78,214748364.8
15-06-2022,32486928.5,214748364.8
16-06-2022,32310915.13,214748364.8
17-06-2022,32245071.54,214748364.8
18-06-2022,32142425.5,214748364.8
19-06-2022,32124105.11,214748364.8
20-06-2022,31926883.28,214748364.8
21-06-2022,31840266.9,214748364.8
22-06-2022,31885194.13,214748364.8
23-06-2022,31892503.76,214748364.8
24-06-2022,31892225.41,214748364.8
25-06-2022,31804279.62,214748364.8
26-06-2022,31888597.63,214748364.8
27-06-2022,31828601.19,214748364.8
28-06-2022,31747624.83,214748364.8
29-06-2022,31473289.47,214748364.8
30-06-2022,31387665.21,214748364.8
01-07-2022,31183188.64,214748364.8
02-07-2022,31182901.67,214748364.8
03-07-2022,31228257.81,214748364.8
04-07-2022,31334908.06,214748364.8
05-07-2022,31350317.98,214748364.8
06-07-2022,31377970.71,214748364.8
07-07-2022,31354602.84,214748364.8
08-07-2022,31349983.39,214748364.8
09-07-2022,31340383.37,214748364.8
10-07-2022,31274671.99,214748364.8
11-07-2022,40355622.11,214748364.8
12-07-2022,40183563.57,214748364.8
13-07-2022,31244250.76,214748364.8
14-07-2022,31205695.25,214748364.8
15-07-2022,31108470.37,214748364.8
16-07-2022,30979098.62,214748364.8
17-07-2022,30777929.93,214748364.8
18-07-2022,30263597.28,214748364.8
19-07-2022,30134511.39,214748364.8
20-07-2022,30104452.59,214748364.8
21-07-2022,29909672.44,214748364.8
22-07-2022,29675024.73,214748364.8
23-07-2022,29326175.77,214748364.8
24-07-2022,29206621.86,214748364.8
25-07-2022,29046842.72,214748364.8
26-07-2022,29936695.71,214748364.8
27-07-2022,28865819.85,214748364.8
28-07-2022,27975649.17,214748364.8
29-07-2022,26738393.23,214748364.8
30-07-2022,26234171.83,214748364.8
31-07-2022,25952175.24,214748364.8
01-08-2022,25766675.02,214748364.8
02-08-2022,25653376.7,214748364.8
03-08-2022,25233367.69,214748364.8
04-08-2022,24723167.68,214748364.8
05-08-2022,24529886.36,214748364.8
06-08-2022,24270976.61,214748364.8
07-08-2022,24132438.57,214748364.8
08-08-2022,24170555.47,214748364.8
